name,category,status,expected_type,default_value,effect_role,remarks,target_parameters,source_paths,milestones,source_inventory
MPCD_CUDA_CLASSIC_SRC_IO_RESIDENT_0269_POOL_THREADS,CUDA SRC classic — inlet/outlet segmenté,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_CLASSIC_SRC_IO_RESIDENT_0269_SEGMENTED_INSERT_THREADS,CUDA SRC classic — inlet/outlet segmenté,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_CLASSIC_SRC_IO_RESIDENT_0291_FORCED_OUTLET_THREADS,CUDA SRC classic — inlet/outlet,présent état 36abd23; inventorié 0490p (0291),entier,256,Règle le nombre de threads CUDA par bloc du noyau associé.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_classic_src_io_resident_0263.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_CLASSIC_SRC_IO_SEGMENTED_RESIDENT_0264,CUDA SRC classic — inlet/outlet segmenté,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active le chemin résident inlet/outlet segmenté SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0264_IO_SEGMENTED_RESIDENT.md;doc/GPU_PATCH_0280B_CUDA_THERMOSTAT_IO_SEGMENTED_RUNNERFIX.md;doc/GPU_PATCH_0280_CUDA_THERMOSTAT_IO_SEGMENTED.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_CLASSIC_SRC_IO_SEGMENTED_RESIDENT_0264_STRICT,CUDA SRC classic — inlet/outlet segmenté,validé 0286,booléen/env truthy sauf mention contraire,souvent true dans validateurs; dépend du module,Active le chemin résident inlet/outlet segmenté SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0264_IO_SEGMENTED_RESIDENT.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_CLASSIC_SRC_IO_SEGMENTED_RESIDENT_0264_THREADS,CUDA SRC classic — inlet/outlet segmenté,validé 0286,entier,256 le plus souvent,Active le chemin résident inlet/outlet segmenté SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_CLASSIC_SRC_PERIODIC_RESIDENT_0260,SRC classic CUDA résident,validé 0286 | existant; confirmé 0334a,booléen/env truthy,false/off sauf scripts CUDA,Active le chemin classic SRC CUDA résident périodique.,"Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo. | Depuis 0334a, il peut rester compatible avec immersed circle; ne doit pas forcer un fallback CPU en présence d’un cylindre.",,doc/GPU_PATCH_0260.md;doc/GPU_PATCH_0262_RESIDENTFIX.md;doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md;doc/README_full_periodic_circle_resident_0334a.md;src/cuda_streaming_periodic_0245.cu;src/src_mpcd_base.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_CLASSIC_SRC_RESIDENT_0271_ASYNC_STREAM,Autres variables internes,réglage performance/interne | propagé scripts Darcy 0426,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo. | 0426 : intégré au bloc fastflags Darcy pour éviter le backend collision/thermostat lent dans les cas chi/segments.,,doc/GPU_PATCH_0271_WALL_PERIODIC_FIXED_OVERHEAD.md;doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md;doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
MPCD_CUDA_CLASSIC_SRC_RESIDENT_0271_DISABLE_ASYNC_STREAM,Autres variables internes,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0271_WALL_PERIODIC_FIXED_OVERHEAD.md;src/cuda_streaming_periodic_0245.cu;src/cuda_streaming_wall_simple_0246.cu,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_CLASSIC_SRC_SOLID_RESIDENT_0262,Autres variables internes,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active le chemin résident solide/rectangle SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0262.md;doc/GPU_PATCH_0262_RESIDENTFIX.md;doc/GPU_PATCH_0262_STREAMFIX.md;doc/GPU_PATCH_0277_CUDA_THERMOSTAT_SOLID_RECTANGLE.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318,Sécurité VK / chemin wall+circle résident,existant 0318; quarantainé 0331,booléen/env truthy,false/off,Demande l’ancien chemin résident combiné wall+circle 0318.,Chemin conservé uniquement pour diagnostic; ne s’active plus sans le garde UNSAFE. Le chemin validé par défaut utilise le resident classic safe/no0318. | 0338c: le chemin performant validé est 0318 + MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_MINIMAL_DOWNLOAD_0338=1; 0318 seul reste à traiter comme chemin historique/quarantainé selon scripts.,,src/cuda_streaming_wall_simple_0246.cu;src/src_mpcd_base.cpp,,src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318_UNSAFE_ENABLE,Sécurité VK / chemin wall+circle résident,ajout 0331,booléen/env truthy,false/off,Garde explicite pour autoriser le chemin 0318 unsafe.,Doit rester à 0 pour les runs de production/validation. À 1 seulement pour reproduire l’ancien chemin fautif ou diagnostiquer.,,src/src_mpcd_base.cpp,,src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_DISABLE_MINIMAL_DOWNLOAD_0338,CUDA sécurité / wall+circle resident 0318,ajout 0338c; debug/rollback,booléen/env truthy,false/off,Désactive explicitement le pont minimal-download 0338 même si le flag d’activation est présent.,Garde-fou pour comparaison flag ON/OFF et rollback rapide.,,src/cuda_persistent_mpcd_step.cu,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_MINIMAL_DOWNLOAD_0338,CUDA performance / wall+circle resident 0318,ajout 0338c; opt-in; validé classic wall+circle non-VIZ et VIZ,booléen/env truthy,false/off,"Active le pont 0338 pour le chemin wall+circle résident 0318 : immersed_circle reconnaît 0318 comme résident, supprime le download cercle et autorise src_collision à consommer l’état partagé CUDA 0251 frais.",À activer avec MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318=1 pour le cas classic wall+circle validé. Ne pas généraliser sans validation Q6/resampling/viriel; préserver les miroirs host lorsque ces voies hybrides sont actives.,,doc/host_device_authority_0340.md;src/cuda_immersed_circle_0284.cu;src/cuda_persistent_mpcd_step.cu;src/src_collision.cpp,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
MPCD_CUDA_CLASSIC_SRC_WALL_RESIDENT_0261,CUDA SRC classic — wall-simple,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active le chemin résident wall-simple SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0261.md;doc/GPU_PATCH_0262_RESIDENTFIX.md;doc/GPU_PATCH_0270_WALL_RESIDENT_BOUNDARY_SKIP.md;doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_CLASSIC_SRC_WALL_RESIDENT_0270_DISABLE_BOUNDARY_SKIP,CUDA SRC classic — wall-simple,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0270_WALL_RESIDENT_BOUNDARY_SKIP.md;src/src_mpcd_base.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_CLASSIC_SRC_WALL_RESIDENT_0271_DISABLE_FAST_DIAGNOSTICS,CUDA SRC classic — wall-simple,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0271_WALL_PERIODIC_FIXED_OVERHEAD.md;src/cuda_streaming_wall_simple_0246.cu,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_CLASSIC_SRC_WALL_RESIDENT_0271_FAST_DIAGNOSTICS,CUDA SRC classic — wall-simple,interne/runtime,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0271_WALL_PERIODIC_FIXED_OVERHEAD.md;doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_COLLISION_WRAPPER_HOST_SYNC_0315F,CUDA état résident / active-prefix — audit et compatibilité,présent état 36abd23; inventorié 0490p (0315f),booléen/env truthy,false/off,"Force une synchronisation ou un miroir hôte complet, principalement pour compatibilité et audit.","À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/src_mpcd_base.cpp,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_DARCY_BRINKMAN_LOG_0343,CUDA Darcy–Brinkman,présent état 36abd23; inventorié 0490p (0343),booléen/env truthy,false/off,Contrôle un diagnostic ou journal runtime du composant associé.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_darcy_brinkman_0343.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_IMMERSED_CIRCLE_0284,Obstacle immersed circle CUDA,validé 0286 | confirmé 0334a,booléen/env truthy,false/off sauf scripts VK,Active le traitement CUDA du cylindre immergé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo. | 0334a : peut consommer l’état CUDA résident partagé et éviter les upload/download particulaires à chaque step.,,doc/README_full_periodic_circle_resident_0334a.md;src/cuda_immersed_circle_0284.cu,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_IMMERSED_CIRCLE_0284_DOWNLOAD_ALL,Obstacle immersed circle CUDA,validé 0286 | existant; à éviter en production,booléen/env truthy,false/off,Force un téléchargement complet après le cylindre 0284.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo. | Très coûteux; utile seulement pour diagnostic comparatif. Incompatible avec l’objectif chemin résident.,,src/cuda_immersed_circle_0284.cu,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_IMMERSED_CIRCLE_0284_THREADS,CUDA solide immergé — cercle,validé 0286,entier,256 le plus souvent,Active/paramètre le support CUDA du cercle solide 0284.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/cuda_immersed_circle_0284.cu,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_IMMERSED_CIRCLE_FAST_DIAGNOSTICS_0330,Diagnostics rapides immersed circle CUDA,ajout 0330/0331,booléen/env truthy,false/off,Active un retour diagnostic plus léger pour le cylindre CUDA.,N’affecte pas la physique; seulement les compteurs/diagnostics. Utile pour benchmark mais à désactiver pour oracle hits complets.,,src/cuda_immersed_circle_0284.cu,,src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_IMMERSED_RECTANGLE_0247,CUDA solide immergé — rectangle,interne/runtime,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active/paramètre le support CUDA rectangle/step.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0247A.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_IMMERSED_RECTANGLE_0247_DOWNLOAD_ALL,CUDA solide immergé — rectangle,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active/paramètre le support CUDA rectangle/step.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0262.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_IMMERSED_RECTANGLE_0247_THREADS,CUDA solide immergé — rectangle,réglage performance/interne,entier,256 le plus souvent,Active/paramètre le support CUDA rectangle/step.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0247A.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_INACTIVE_TAIL_POOL_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,booléen/env truthy,true/on,Active le fast path de collecte de slots inactifs en queue de tableau.,Fallback exact conservé par défaut si la fenêtre ne suffit pas.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_INACTIVE_TAIL_POOL_MAX_SCAN_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,entier,262144,Taille maximale de fenêtre scannée dans la queue inactive.,Borne le coût du fast path avant fallback.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_INACTIVE_TAIL_POOL_MIN_SCAN_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,entier,8192,Taille minimale de fenêtre scannée dans la queue inactive.,Paramètre de performance; ne change pas la physique.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_INACTIVE_TAIL_POOL_NO_FALLBACK_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,booléen/env truthy,false/off,Désactive le fallback complet si activé.,À réserver aux audits; le nominal garde le fallback exact.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_INACTIVE_TAIL_POOL_SCAN_MULT_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,réel/entier,4,Facteur multiplicatif entre besoin estimé de slots et fenêtre scannée.,Augmenter si le fallback complet se déclenche trop souvent.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_INLET_OUTLET_FULLFACE_0249A,CUDA SRC classic — inlet/outlet full-face,interne/runtime,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0249A.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_INLET_OUTLET_FULLFACE_0249A_THREADS,CUDA SRC classic — inlet/outlet full-face,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_INLET_OUTLET_SEGMENTED_0249B,CUDA SRC classic — inlet/outlet segmenté,interne/runtime,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_INLET_OUTLET_SEGMENTED_0249B_THREADS,CUDA SRC classic — inlet/outlet segmenté,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_PERSISTENT_CELL_WORKSPACE_STRICT,CUDA moments/workspace cellule,debug/comparaison,booléen/env truthy sauf mention contraire,souvent true dans validateurs; dépend du module,Active le mode strict: erreur si le chemin CUDA demandé ne s’applique pas.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/src_collision.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_PERSISTENT_CELL_WORKSPACE_USE,CUDA moments/workspace cellule,interne/runtime | propagé scripts Darcy 0426,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo. | 0426 : intégré au bloc fastflags Darcy pour éviter le backend collision/thermostat lent dans les cas chi/segments.,,doc/GPU_PATCH_0244.md;doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
MPCD_CUDA_PERSISTENT_PARTICLE_METADATA_CACHE,Autres variables internes,interne/runtime | propagé scripts Darcy 0426,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo. | 0426 : intégré au bloc fastflags Darcy pour éviter le backend collision/thermostat lent dans les cas chi/segments.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
MPCD_CUDA_PERSISTENT_PARTICLE_STATE_STRICT,CUDA état particulaire persistant,debug/comparaison,booléen/env truthy sauf mention contraire,souvent true dans validateurs; dépend du module,Active le mode strict: erreur si le chemin CUDA demandé ne s’applique pas.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/src_collision.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_PERSISTENT_PARTICLE_STATE_USE,CUDA état particulaire persistant,interne/runtime | propagé scripts Darcy 0426,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo. | 0426 : intégré au bloc fastflags Darcy pour éviter le backend collision/thermostat lent dans les cas chi/segments.,,doc/GPU_PATCH_0244.md;doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
