canonical_name,category,status,expected_type,default_value,constraints,effect_role,remarks,kv_keys,cpp_fields,aliases,runner_variables,source_paths,milestones,source_inventory
fluidXMaxVelocity,Domaine actif mobile,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Vitesse imposée de la borne x maximale du domaine actif.,Incompatible avec une paire périodique x si non nul.,fluidXMaxVelocity,fluidXMaxVelocity,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
fluidXMin0,Domaine actif mobile,existant catalogue 0292 | canonique,double,0.0,">= 0, dans [0,Lx]",Borne x minimale initiale du domaine fluide actif.,Le domaine actif doit rester inclus dans la boîte numérique.,fluidXMin0,fluidXMin0,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
fluidXMinVelocity,Domaine actif mobile,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Vitesse imposée de la borne x minimale du domaine actif.,Incompatible avec une paire périodique x si non nul.,fluidXMinVelocity,fluidXMinVelocity,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
fluidYMax0,Domaine actif mobile,existant catalogue 0292 | canonique | alias accepté,double,-1.0,-1 hérite de Ly; sinon > fluidYMin0 et <= Ly,Borne y maximale initiale du domaine fluide actif.,"Si une frontière y est périodique, le domaine y doit être complet et statique.",fluidYMax0;fluidYTop0,fluidYMax0,fluidYTop0,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
fluidYMaxVelocity,Domaine actif mobile,existant catalogue 0292 | canonique | alias accepté,double,0.0,nombre réel fini,Vitesse imposée de la borne y maximale du domaine actif.,Incompatible avec une paire périodique y si non nul.,fluidYMaxVelocity;fluidYTopVelocity,fluidYMaxVelocity,fluidYTopVelocity,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
fluidYMin0,Domaine actif mobile,existant catalogue 0292 | canonique,double,0.0,">= 0, dans [0,Ly]",Borne y minimale initiale du domaine fluide actif.,Le domaine actif doit rester inclus dans la boîte numérique.,fluidYMin0,fluidYMin0,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
fluidYMinVelocity,Domaine actif mobile,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Vitesse imposée de la borne y minimale du domaine actif.,Incompatible avec une paire périodique y si non nul.,fluidYMinVelocity,fluidYMinVelocity,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
gridShiftEnable,Temps et collision SRC,existant catalogue 0292 | canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Active le décalage aléatoire de grille avant collision.,,gridShiftEnable,gridShiftEnable,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidCx,Solide immergé — cercle,existant catalogue 0292 | alias accepté | canonique,double,0.5,nombre réel fini,Abscisse initiale du centre du cercle.,Le cercle doit rester dans le domaine actif au début et à la fin.,immersedSolidCx;immersedCircleCx,immersedSolidCx,immersedCircleCx,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidCy,Solide immergé — cercle,existant catalogue 0292 | alias accepté | canonique,double,0.5,nombre réel fini,Ordonnée initiale du centre du cercle.,Le cercle doit rester dans le domaine actif au début et à la fin.,immersedSolidCy;immersedCircleCy,immersedSolidCy,immersedCircleCy,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidEnable,Solide immergé,existant catalogue 0292 | alias accepté | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active un solide immergé analytique.,,immersedSolidEnable;immersedCircleEnable,immersedSolidEnable,immersedCircleEnable,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidFractionSamples,Solide immergé,existant catalogue 0292 | alias accepté | canonique,entier,4,> 0,Nombre d’échantillons pour estimer la fraction fluide/solide des cellules.,,immersedSolidFractionSamples;immersedCircleFractionSamples,immersedSolidFractionSamples,immersedCircleFractionSamples,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidOmega,Solide immergé — mouvement,existant catalogue 0292 | alias accepté | canonique,double,0.0,nombre réel fini,"Vitesse angulaire du cercle, positive antihoraire.",Implémenté seulement pour le cercle; rectangle exige Omega=0.,immersedSolidOmega;immersedCircleOmega,immersedSolidOmega,immersedCircleOmega,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidR,Solide immergé — cercle,existant catalogue 0292 | alias accepté | canonique,double,0.1,> 0 si shape=circle/disk/disc,Rayon du cercle immergé.,,immersedSolidR;immersedCircleR,immersedSolidR,immersedCircleR,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidShape,Solide immergé,existant catalogue 0292 | canonique,enum string,circle,circle; disk; disc; rectangle; rect; box; step,Forme du solide immergé.,immersedCircleEnable sans shape force circle.,immersedSolidShape,immersedSolidShape,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidVx,Solide immergé — mouvement,existant catalogue 0292 | alias accepté | canonique,double,0.0,nombre réel fini,Vitesse de translation du solide en x.,Q6 avec masque immergé impose actuellement Vx=Vy=Omega=0.,immersedSolidVx;immersedCircleVx,immersedSolidVx,immersedCircleVx,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidVy,Solide immergé — mouvement,existant catalogue 0292 | alias accepté | canonique,double,0.0,nombre réel fini,Vitesse de translation du solide en y.,Q6 avec masque immergé impose actuellement Vx=Vy=Omega=0.,immersedSolidVy;immersedCircleVy,immersedSolidVy,immersedCircleVy,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidWallUx,Solide immergé — mouvement,existant catalogue 0292 | alias accepté | canonique,double,0.0,nombre réel fini,Offset uniforme de vitesse de paroi du solide en x.,,immersedSolidWallUx;immersedCircleWallUx,immersedSolidWallUx,immersedCircleWallUx,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidWallUy,Solide immergé — mouvement,existant catalogue 0292 | alias accepté | canonique,double,0.0,nombre réel fini,Offset uniforme de vitesse de paroi du solide en y.,,immersedSolidWallUy;immersedCircleWallUy,immersedSolidWallUy,immersedCircleWallUy,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidXMax,Solide immergé — rectangle,existant catalogue 0292 | canonique,double,0.25,nombre réel fini,Borne x maximale du rectangle.,Rectangle: XMax>XMin; doit rester dans le domaine actif.,immersedSolidXMax,immersedSolidXMax,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidXMin,Solide immergé — rectangle,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Borne x minimale du rectangle.,Rectangle: XMax>XMin; doit rester dans le domaine actif.,immersedSolidXMin,immersedSolidXMin,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidYMax,Solide immergé — rectangle,existant catalogue 0292 | canonique,double,0.50,nombre réel fini,Borne y maximale du rectangle.,Rectangle: YMax>YMin; doit rester dans le domaine actif.,immersedSolidYMax,immersedSolidYMax,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
immersedSolidYMin,Solide immergé — rectangle,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Borne y minimale du rectangle.,Rectangle: YMax>YMin; doit rester dans le domaine actif.,immersedSolidYMin,immersedSolidYMin,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletBottomXMax,Clés supprimées — migration vers segments 0143,supprimé 0143; rejet explicite; recensé 0490p,clé supprimée,(non applicable),Toujours rejetée; utiliser openBoundarySegmentsEnable/openBoundarySegmentCount/openBoundarySegmentK.,Clé params.kv lue par le parseur courant.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,inletBottomXMax,,,,,,delta parseur 0437–0490p / branche surf commit 36abd23
inletBottomXMin,Clés supprimées — migration vers segments 0143,supprimé 0143; rejet explicite; recensé 0490p,clé supprimée,(non applicable),Toujours rejetée; utiliser openBoundarySegmentsEnable/openBoundarySegmentCount/openBoundarySegmentK.,Clé params.kv lue par le parseur courant.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,inletBottomXMin,,,,,,delta parseur 0437–0490p / branche surf commit 36abd23
inletHardCellThermalRescale,Entrées/sorties — réservoir dur,existant catalogue 0292 | canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Rescale les fluctuations thermiques de la cellule d’entrée.,Mode hard_cell_density.,inletHardCellThermalRescale,inletHardCellThermalRescale,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletHardCellVelocityMean,Entrées/sorties — réservoir dur,existant catalogue 0292 | canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Recentre les vitesses injectées pour imposer exactement la moyenne de cellule.,Mode hard_cell_density.,inletHardCellVelocityMean,inletHardCellVelocityMean,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletInjectionMode,Entrées/sorties — injection,existant catalogue 0292 | canonique,enum string,cuda_recycle,cuda_recycle; thin_slab; hard_cell_density; hard_density; hard; cell_density,Mode historique de réinjection/recyclage des particules à l’entrée.,Validé seulement si une frontière inlet/outlet est présente.,inletInjectionMode,inletInjectionMode,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletKBT,Entrées/sorties — injection,existant catalogue 0292 | canonique,double,-1.0,négatif => hérite de kBT; sinon >0 recommandé,Température cinétique imposée aux particules injectées.,"Si inletThermalNoise>0 et inletKBT<0, kBT doit être >0.",inletKBT,inletKBT,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletLeftYMax,Clés supprimées — migration vers segments 0143,supprimé 0143; rejet explicite; recensé 0490p,clé supprimée,(non applicable),Toujours rejetée; utiliser openBoundarySegmentsEnable/openBoundarySegmentCount/openBoundarySegmentK.,Clé params.kv lue par le parseur courant.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,inletLeftYMax,,,,,,delta parseur 0437–0490p / branche surf commit 36abd23
inletLeftYMin,Clés supprimées — migration vers segments 0143,supprimé 0143; rejet explicite; recensé 0490p,clé supprimée,(non applicable),Toujours rejetée; utiliser openBoundarySegmentsEnable/openBoundarySegmentCount/openBoundarySegmentK.,Clé params.kv lue par le parseur courant.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,inletLeftYMin,,,,,,delta parseur 0437–0490p / branche surf commit 36abd23
inletRandomizeTangential,Entrées/sorties — injection,existant catalogue 0292 | alias accepté | canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Randomise la coordonnée tangentielle des particules injectées.,,inletRandomizeTangential;injectRandomY;inletRandomizeTransverse;inletRandomizeY,inletRandomizeTangential,injectRandomY;inletRandomizeTransverse;inletRandomizeY,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletReinjectBackflow,Entrées/sorties — injection,existant catalogue 0292 | canonique | alias accepté,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Réinjecte les particules traversant une entrée dans le mauvais sens au lieu de les laisser sortir.,,inletReinjectBackflow;reinjectBackflow,inletReinjectBackflow,reinjectBackflow,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletReservoirCells,Entrées/sorties — réservoir dur,existant catalogue 0292 | alias accepté | canonique,entier,1,> 0 si hard_cell_density,Épaisseur du réservoir d’entrée en nombre de cellules.,Utilisé par le mode hard_cell_density.,inletReservoirCells;inletDensityCells,inletReservoirCells,inletDensityCells,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletReservoirMode,Entrées/sorties — réservoir dur,existant catalogue 0292 | canonique,enum string,recycle,recycle; cuda_recycle; thin_slab; hard_cell_density; hard_density; hard; cell_density; default,Mode de réservoir d’entrée; les alias cuda_recycle/thin_slab sont normalisés vers recycle.,hard_cell_density exige inletReservoirCells>0 et inletTargetOccupancy>0.,inletReservoirMode,inletReservoirMode,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletSlabCells,Entrées/sorties — injection,existant catalogue 0292 | alias accepté | canonique,double,1.0,> 0,Épaisseur de la dalle d’injection en nombre de cellules locales.,Utilisé dans les modes de recyclage/injection en slab.,inletSlabCells;inletInjectionSlabCells,inletSlabCells,inletInjectionSlabCells,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletTargetOccupancy,Entrées/sorties — réservoir dur,existant catalogue 0292 | alias accepté | canonique,entier,0,> 0 si hard_cell_density,Nombre cible de particules par cellule de réservoir dur.,Souvent choisi égal à gamma.,inletTargetOccupancy;inletGamma;inletTargetN,inletTargetOccupancy,inletGamma;inletTargetN,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletThermalNoise,Entrées/sorties — injection,existant catalogue 0292 | canonique,double,1.0,>= 0,Amplitude du bruit thermique Maxwellien ajouté à l’inlet; 0 donne une vitesse déterministe.,,inletThermalNoise,inletThermalNoise,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUx,Entrées/sorties — vitesse,existant catalogue 0292 | canonique | alias accepté,double,(non stocké),nombre réel fini,Alias global pour la composante x de vitesse d’entrée.,Applique la même valeur à inletUxLeft/Right/Bottom/Top.,inletUx;inletVelocityX,inletUx,inletVelocityX,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUxBottom,Entrées/sorties — vitesse,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Composante x de la vitesse prescrite sur l’entrée bottom.,Utilisé par les faces inlet et les segments d’inlet selon le cas.,inletUxBottom,inletUxBottom,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUxLeft,Entrées/sorties — vitesse,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Composante x de la vitesse prescrite sur l’entrée left.,Utilisé par les faces inlet et les segments d’inlet selon le cas.,inletUxLeft,inletUxLeft,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUxRight,Entrées/sorties — vitesse,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Composante x de la vitesse prescrite sur l’entrée right.,Utilisé par les faces inlet et les segments d’inlet selon le cas.,inletUxRight,inletUxRight,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUxTop,Entrées/sorties — vitesse,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Composante x de la vitesse prescrite sur l’entrée top.,Utilisé par les faces inlet et les segments d’inlet selon le cas.,inletUxTop,inletUxTop,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUy,Entrées/sorties — vitesse,existant catalogue 0292 | canonique | alias accepté,double,(non stocké),nombre réel fini,Alias global pour la composante y de vitesse d’entrée.,Applique la même valeur à inletUyLeft/Right/Bottom/Top.,inletUy;inletVelocityY,inletUy,inletVelocityY,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUyBottom,Entrées/sorties — vitesse,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Composante y de la vitesse prescrite sur l’entrée bottom.,Utilisé par les faces inlet et les segments d’inlet selon le cas.,inletUyBottom,inletUyBottom,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUyLeft,Entrées/sorties — vitesse,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Composante y de la vitesse prescrite sur l’entrée left.,Utilisé par les faces inlet et les segments d’inlet selon le cas.,inletUyLeft,inletUyLeft,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUyRight,Entrées/sorties — vitesse,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Composante y de la vitesse prescrite sur l’entrée right.,Utilisé par les faces inlet et les segments d’inlet selon le cas.,inletUyRight,inletUyRight,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUyTop,Entrées/sorties — vitesse,existant catalogue 0292 | canonique,double,0.0,nombre réel fini,Composante y de la vitesse prescrite sur l’entrée top.,Utilisé par les faces inlet et les segments d’inlet selon le cas.,inletUyTop,inletUyTop,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampEnable,Entrées/sorties — rampe,existant catalogue 0292 | alias accepté | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active une rampe temporelle multiplicative sur les vitesses/flux d’entrée.,,inletVelocityRampEnable;inletRampEnable,inletVelocityRampEnable,inletRampEnable,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampEndTime,Entrées/sorties — rampe,existant catalogue 0292 | alias accepté | canonique,double,0.0,nombre réel fini,Temps de fin de la rampe d’entrée.,"Si rampe active, EndTime >= StartTime.",inletVelocityRampEndTime;inletRampEndTime,inletVelocityRampEndTime,inletRampEndTime,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampFinalFactor,Entrées/sorties — rampe,existant catalogue 0292 | alias accepté | canonique,double,1.0,nombre réel fini,Facteur multiplicatif final de vitesse/flux d’entrée.,Si rampe active.,inletVelocityRampFinalFactor;inletRampFinalFactor,inletVelocityRampFinalFactor,inletRampFinalFactor,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampInitialFactor,Entrées/sorties — rampe,existant catalogue 0292 | alias accepté | canonique,double,0.0,nombre réel fini,Facteur multiplicatif initial de vitesse/flux d’entrée.,Si rampe active.,inletVelocityRampInitialFactor;inletRampInitialFactor,inletVelocityRampInitialFactor,inletRampInitialFactor,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampProfile,Entrées/sorties — rampe,existant catalogue 0292 | alias accepté | canonique,enum string,linear,linear; smoothstep,Loi d’interpolation temporelle de la rampe.,Si rampe active.,inletVelocityRampProfile;inletRampProfile,inletVelocityRampProfile,inletRampProfile,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampStartTime,Entrées/sorties — rampe,existant catalogue 0292 | alias accepté | canonique,double,0.0,nombre réel fini,Temps de début de la rampe d’entrée.,"Si rampe active, EndTime >= StartTime.",inletVelocityRampStartTime;inletRampStartTime,inletVelocityRampStartTime,inletRampStartTime,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocitySpatialProfile,Entrées/sorties — profil spatial,existant catalogue 0292 | étendu 0493x8k entrée segmentée locale | alias accepté | canonique,enum string,uniform,uniform; poiseuille_y; poiseuille_y_mean; poiseuille_y_max; flat_taper_y; flat_taper_y_mean,Profil spatial de vitesse/flux imposé sur les entrées.,"Les tirets sont normalisés en underscores. | 0493x8k: pour une ouverture segmentée, poiseuille_y_max/poiseuille_y_mean sont évalués dans la coordonnée locale du segment; la vitesse normale est nulle aux extrémités et le même profil alimente injection particulaire et flux Q6-G-F.",inletVelocitySpatialProfile;inletProfile;inletSpatialProfile;openBoundaryVelocityProfile,inletVelocitySpatialProfile,inletProfile;inletSpatialProfile;openBoundaryVelocityProfile,,include/simulation_params.h;scripts/run_0493x8k_segmented_local_poiseuille.sh;src/cuda_classic_src_io_resident_0263.cu;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x8k;x8t;x9d;x9r,src_mpcd_params_catalogue_0292_cuda.csv | cycle_0493x8k_x8t + 0493x9d_x9r_surface_tension_20260819 | src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityWallTaperCells,Entrées/sorties — profil spatial,existant catalogue 0292 | canonique | alias accepté,double,2.0,>= 0,"Largeur du lissage/taper près des murs, exprimée en cellules.",Utilisé par les profils flat_taper_y.,inletVelocityWallTaperCells;inletWallTaperCells;openBoundaryVelocityWallTaperCells,inletVelocityWallTaperCells,inletWallTaperCells;openBoundaryVelocityWallTaperCells,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
inputState,I/O et exécution,existant catalogue 0292 | canonique,chemin,(obligatoire),chaîne non vide,Fichier d’état initial .smpcd lu par l’exécutable.,Toujours obligatoire.,inputState,inputState,,INPUT_STATE,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
ioApertureEnable,Clés supprimées — migration vers segments 0143,supprimé 0143; rejet explicite; recensé 0490p,clé supprimée,(non applicable),Toujours rejetée; utiliser openBoundarySegmentsEnable/openBoundarySegmentCount/openBoundarySegmentK.,Clé params.kv lue par le parseur courant.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,ioApertureEnable,,,,,,delta parseur 0437–0490p / branche surf commit 36abd23
kBT,Thermostat,existant catalogue 0292 | canonique,double,0.0,>=0 usuel; doit être >0 quand hérité par thermostat/paroi/inlet bruité,Température cinétique globale de référence.,Référence thermique globale.,kBT,kBT,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
keepMeanFlowEnable,Forçage et contrôle d’écoulement,existant catalogue 0292 | alias accepté | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active un correcteur global de vitesse moyenne après SRC/Q6/thermostat.,,keepMeanFlowEnable;keepMeanFlow,keepMeanFlowEnable,keepMeanFlow,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
kVirial,Projection Q6-g-f / fermeture virielle continuum 0493x7a–x7b,ajout 0493x7a/x7b; omission d’inventaire corrigée 0493x7q,double,0.10666666666666667,fini >=0,Module continuum du terme de pression/accélération virielle associé au défaut de remplissage.,Grandeur physique à ne pas rescaler avec Nx/Ny lors d’un raffinement à domaine physique fixé.,kVirial,kVirial,Kvirial,,include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x7a;x7b;x7q,complément exhaustif parseur 0493x7q
leftOpenYMax,Clés supprimées — migration vers segments 0143,supprimé 0143; rejet explicite; recensé 0490p,clé supprimée,(non applicable),Toujours rejetée; utiliser openBoundarySegmentsEnable/openBoundarySegmentCount/openBoundarySegmentK.,Clé params.kv lue par le parseur courant.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,leftOpenYMax,,,,,,delta parseur 0437–0490p / branche surf commit 36abd23
leftOpenYMin,Clés supprimées — migration vers segments 0143,supprimé 0143; rejet explicite; recensé 0490p,clé supprimée,(non applicable),Toujours rejetée; utiliser openBoundarySegmentsEnable/openBoundarySegmentCount/openBoundarySegmentK.,Clé params.kv lue par le parseur courant.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,leftOpenYMin,,,,,,delta parseur 0437–0490p / branche surf commit 36abd23
Lx,Domaine et grille,existant catalogue 0292 | canonique,double,1.0,> 0,Longueur du domaine numérique en x.,,Lx,Lx,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
Ly,Domaine et grille,existant catalogue 0292 | canonique,double,1.0,> 0,Longueur du domaine numérique en y.,,Ly,Ly,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
