milestone_id,family,support_type,nature,function,status,milestone_key,canonical_id,domain,name
x7a,x7,modification code + analyseur,CODE,"Porte sur le chemin free_surface_masked Q6-g-f le mécanisme historique de restauration de densité sous forme d'un kick explicite post-projection : Pvir/rhoRef=kVirial*(rawFill-1), puis duVir=-betaEOS*dt*grad(Pvir/rhoRef). Le kick est limité au bulk liquide, avec correction uniforme optionnelle du moment net, et est fusionné dans le redépôt final des moments cellule.",Expérience de restauration explicite; abandonnée au profit de la cible de divergence x7c/x7d,0493x7a,0493x7a,Q6_GF,Kick viriel de densité CUDA résident
x7b,x7,modification code + vérificateur,DIAGNOSTIC,Fixe la convention continue du mécanisme x7a sans modifier son update numérique lorsque kVirial et betaEOS sont explicites : kVirial porte des unités de vitesse au carré et ne se redimensionne pas avec dx/dy; la résolution temporelle est suivie séparément par cVir=sqrt(betaEOS*kVirial) et les nombres de Courant viriels. Le candidat K32 qualifié devient le défaut lorsque le viriel est activé.,Consolidation sémantique de l'ablation virielle; stratégie ensuite remplacée par x7c,0493x7b,0493x7b,Q6_GF,Sémantique continue et diagnostic de grille du viriel
x7c,x7,modification code + analyseur,CODE,"Remplace le kick viriel explicite post-projection par une contrainte de divergence directement dans le solve Q6 : dans le bulk liquide, div(u_proj)=beta_rho*(rawFill-1)/dt. Les cellules sur la bande d'interface conservent le traitement de pression x6f/x6g; beta=0 est un no-op exact.",Mécanisme RHS retenu conceptuellement; paramétrage physique raffiné par x7d,0493x7c,0493x7c,Q6_GF,Restauration de densité intégrée au RHS Q6
x7d,x7,modification code + runner,CODE,"Consolide l'opérateur x7c sans en changer le kernel : l'entrée physique préférée devient q6DensityRelaxationTime=tau_rho, avec div(u_proj)=(rawFill-1)/tau_rho et betaParPas=dt/tau_rho. Le beta par pas x7c reste disponible pour compatibilité mais est mutuellement exclusif avec tau_rho positif. Une campagne coarse/fine à temps physique égal vérifie la sémantique de l'opérateur sous raffinement.",Paramétrage physique retenu; tau_rho=0.25 dans la chaîne qualifiée,0493x7d,0493x7d,Q6_GF,Constante de temps physique de restauration de densité
x7d-v2,x7,modification code,CODE,"Remplace, lorsque le gate est activé, la restauration x7d appliquée à chaque fluctuation locale par une admission des défauts positifs cohérents : la cellule et au moins un voisin de face doivent dépasser le même seuil. Après admission, le défaut complet rawFill-1 est conservé dans la cible de divergence; le seuil n'est pas soustrait.",Actif dans le profil Q6-g-f qualifié; gate désactivé = comportement x7d historique,0493x7d-v2,0493x7d-v2,Q6_GF,Gate cohérent de compression pour la restauration de densité
x7d-v2-fix2,x7,modification code,FIX,"Dans le chemin monophase fullDomain avec B1 et direction périodique, accumule la correction Q6 massiquement au niveau cellule puis retire son mode uniforme k=0 lors de l'application B1. Les directions non périodiques et les domaines partiels avec traction interfaciale restent inchangés.",Correctif intermédiaire actif historiquement; fermeture k=0 centrée cellule ensuite rendue exacte au niveau particulaire par x7q,0493x7d-v2-fix2,0493x7d-v2-fix2,Q6_GF,Première fermeture du moment périodique B1 au niveau cellule
x7d-v2-signed1,x7,modification code + runner,CODE,Conserve la branche positive cohérente de x7d-v2 et ajoute une branche négative de traction/déplétion : un défaut négatif n'est admis que si la cellule et au moins un voisin de face franchissent le seuil négatif; le défaut complet est alors multiplié par q6DensityRelaxationTractionGain. Gain nul est un no-op exact.,Actif dans le profil final signé; qualifié avec la chaîne x7q,0493x7d-v2-signed1,0493x7d-v2-signed1,Q6_GF,Restauration de densité signée à gates cohérents
x7e,x7,runner + analyseur,QUALIFICATION,"Valide sans modifier l'opérateur CUDA l'assemblage additif, dans un même RHS et un même solve CG, de la condition de pression interfaciale x6g et de la cible de divergence bulk x7d. La qualification réutilise la suite d'invariants x6g et le raffinement coarse/fine x7d avec tau_rho=0.25 et B1 actif.",Qualification de composition Q6-g-f; kick viriel explicite désactivé,0493x7e,0493x7e,Q6_GF,Qualification combinée pression gaz x6g + restauration de densité x7d
x7f,x7,runner + vérificateur,CODE,"Généralise le chemin free_surface_masked + prestream_single_fused du dam-break aux familles statiques déjà supportées par le backend résident (périodique, canal à parois, boîte fermée, IO plein et segmenté) et rend la projection pré-transport active même à force volumique nulle. Les équations x6f/x6g/x7d/B1 ne changent pas.",Actif sur les familles statiques qualifiées; Darcy encore exclu à cette étape,0493x7f,0493x7f,Q6_GF,Extension Q6-g-f aux familles statiques multi-BC
x7f-fix2,x7,modification code,FIX,Corrige la garde du chemin résident wall-simple afin qu'un canal périodique-x avec faces solides/specular en y soit accepté sans exiger artificiellement wallVP. La règle de collision/réflexion elle-même n'est pas modifiée.,Correctif actif du périmètre x7f,0493x7f-fix2,0493x7f-fix2,Q6_GF,Correctif de garde wall-simple pour canal mixte
x7g,x7,runner + vérificateur,CODE,"Étend x7f au domaine fictif Darcy/chi résident en appliquant la relaxation déterministe de vitesse avant le solve Q6-g-f pré-transport, puis en supprimant l'ancien replay post-collision pour ce chemin afin d'éviter double application et recréation de divergence après projection.",Actif sur le sous-ensemble Darcy/chi qualifié,0493x7g,0493x7g,Q6_GF,Darcy-Brinkman placé avant la projection Q6-g-f
x7h,x7,infrastructure,INFRA,"Introduit le chemin explicite src-q6-g-f dans les helpers/runners historiques et factorise le profil x4b+x6c+x6f+x6g si gaz+B1+x7d sans modifier les équations. Les démonstrations run_ok deviennent des comparateurs reproductibles entre SRC, Q6 historique et Q6-g-f.",Infrastructure de démonstration et régression,0493x7h,0493x7h,Q6_GF,Factorisation des comparaisons run_ok SRC / Q6 / Q6-g-f
x7i,x7,runner + analyseur,BENCHMARK,"Compare les trois chemins sur Taylor-Green forcé, Poiseuille, bend-pipe Darcy et same-face IO à partir de dumps particulaires et d'analyses hors ligne. La campagne mesure compressibilité structurée, profil/transport effectif et propagation de démarrage sans changer le solveur.",Benchmark diagnostique de référence; sans seuil PASS/FAIL arbitraire,0493x7i,0493x7i,Q6_GF,Benchmark physique multi-cas SRC / Q6 / Q6-g-f
x7j,x7,modification code,PERF,"Supprime les réductions et synchronisations GPU-vers-host à chaque itération du CG masqué x6f en remplaçant la boucle hôte par un noyau coopératif résident couvrant la récurrence de Krylov complète; la physique, le RHS, le stencil et B1 restent inchangés.",Optimisation majeure du solve Q6-g-f; fallback hôte conservé,0493x7j,0493x7j,Q6_GF,CG Q6-g-f entièrement CUDA résident
x7k,x7,modification code,PERF,Conserve tous les diagnostics d'échec mais ne calcule les audits/réductions coûteux du chemin Q6-g-f qu'au premier pas et à la cadence summaryEvery. Aucun paramètre physique ni opérateur n'est modifié.,Optimisation de télémétrie active en production,0493x7k,0493x7k,Q6_GF,Stripping des diagnostics Q6-g-f en production
x7l,x7,modification code,PERF,"Supprime des pas de production Q6-g-f les téléchargements et réductions de télémétrie thermostat/espèces, tout en conservant la séquence physique deposit/kinetic/scale/apply et les diagnostics à la cadence x7k.",Optimisation de télémétrie active; thermostat physique inchangé,0493x7l,0493x7l,Q6_GF,Stripping de la télémétrie thermostat/espèces
x7m,x7,modification code,CODE,Évite qu'une fluctuation alpha<0.5 soit interprétée comme interface physique dans un cas explicitement monophase : la présence d'une phase gaz enregistrée devient l'autorité qui active le stencil d'interface x6f. La première version conserve toutefois pressureMask=carrierMask en monophase.,Étape initiale; complétée par x7m-fix1,0493x7m,0493x7m,Q6_GF,Garde topologique monophase par registre de phases
x7m-fix1,x7,modification code,FIX,"Corrige x7m en rendant le pressureMask monophase égal au domaine de calcul complet, indépendamment de l'occupation particulaire instantanée. Une cellule MPCD temporairement vide reste un inconnu de pression mais pas un support de vitesse inventé.",Correctif structurel actif du chemin monophase,0493x7m-fix1,0493x7m-fix1,Q6_GF,Domaine de pression monophase persistant
x7n,x7,calibrateur + runner,DIAGNOSTIC,"Étend le calibrateur 0493w1 sans modifier celui-ci afin de caractériser explicitement src, src-q6 et src-q6-g-f, et ajoute les analyses hors ligne utilisées pour distinguer transport intrinsèque, fluctuations d'occupation et compression cohérente. Cette étape fournit le diagnostic qui motive la réparation ultérieure x7d-v2.",Diagnostic/calibrateur de chemin; précède les corrections x7d-v2 et la qualification x7q,0493x7n,0493x7n,Q6_GF,Calibrateur de fluide sélectionnable par chemin et diagnostic compression/bruit
x7o,x7,modification code + runner,CODE,"Supprime dans le chemin fullDomain le raccourci directionnel qui assimilait la valeur cellule à la face est/nord. Les vitesses de face deviennent des moyennes FV centrées équivariantes par réflexion et la correction cellule est reconstruite à partir des deux faces opposées, comme dans le chemin masqué.",Actif; corrige le biais est/nord du fullDomain independent_masked,0493x7o,0493x7o,Q6_GF,Symétrisation par réflexion du Q6 independent_masked
x7p,x7,modification code + runner,CODE,"Applique au chemin Q6 commun la convention FV centrée validée par x7o : une face intérieure porte la moyenne arithmétique des cellules adjacentes, les corrections sont d'abord construites sur les faces puis la correction cellule réellement appliquée est reconstruite par moyenne des faces opposées.",Actif; enlève l'orientation backward-difference historique du Q6 commun,0493x7p,0493x7p,Q6_GF,Symétrisation par réflexion du Q6 commun
x7q,x7,modification code + runner,CODE,"Mesure la correction RT0 réellement échantillonnée aux positions des particules dans le chemin monophase fullDomain périodique, réduit son moment sur GPU puis retire dans un second passage résident le résidu uniforme k=0 laissé par l'estimation centrée cellule de x7d-v2-fix2.",Actif automatiquement pour B1 + fullDomain + direction périodique; chemin partiel/dam-break historique inchangé,0493x7q,0493x7q,Q6_GF,Fermeture exacte du moment périodique au niveau particulaire B1/RT0
x8a,x8,analyseur,DIAGNOSTIC,Instrumente de façon opt-in le kick Darcy déterministe afin de sommer exactement l'impulsion particulaire appliquée et de fermer le bilan DeltaP = I_body + I_Darcy + I_nonDarcyResidual sur les comparaisons SRC/Q6/Q6-g-f.,Diagnostic opt-in; OFF en production,0493x8a,0493x8a,Q6_GF,Diagnostic exact du moment Darcy
x8b,x8,analyseur,ANALYZER,"Analyse hors ligne les runs x8a à chaque intervalle commun et compare Q6-g-f moins Q6 puis Q6 moins SRC, en séparant excès de perte Darcy exacte et résidu non-Darcy sans attribuer prématurément ce dernier à un opérateur particulier.",Analyseur hors ligne; aucune modification du solveur,0493x8b,0493x8b,Q6_GF,Attribution temporelle Darcy / résidu non-Darcy
x8c,x8,runner + analyseur,DIAGNOSTIC,"Installe temporairement un audit de moment aux huit étapes du pas afin de localiser le résidu x8b entre Q6, stream/parois, boundary, collision, thermostat et Darcy, tout en conservant x8a comme autorité du bilan cumulatif.",Instrumentation temporaire retirée après campagne; preuve historique conservée,0493x8c,0493x8c,Q6_GF,Localisation temporaire du moment par étapes
x8d,x8,runner + analyseur,QUALIFICATION,"Qualifie Q6-g-f sans prendre SRC/Q6 comme référence : canal à parois physiques contre Poiseuille analytique et canal périodique avec slab chi contre la solution de Brinkman résolue, avec viscosité, forme, slip et longueur de pénétration mesurés.",Qualification analytique du chemin Q6-g-f; aucun changement C++/CUDA,0493x8d,0493x8d,Q6_GF,Qualification indépendante Q6-g-f par Poiseuille et Brinkman
x8e,x8,runner + calibrateur,CALIBRATOR,"Recalibre le microfluide Q6-g-f x8d par un ensemble Taylor-Green multi-seeds via le calibrateur x7n, puis utilise la viscosité fraîche pour balayer ell_B/a=4,2,1,0.5 et documenter séparément l'endpoint raide alpha=4000 sous-résolu.",Calibration Q6-g-f et carte de raideur Darcy; aucun changement du solveur,0493x8e,0493x8e,Q6_GF,Recalibration viscosité Q6-g-f et raideur Darcy
x8f,x8,runner,BENCHMARK,"Construit un premier benchmark cylindre confiné avec le microfluide x8e gelé, inlet gauche contrôlé, outlet Neumann passif, parois no-slip et cylindre Brinkman, sans force volumique ni keep-mean-flow, afin d'observer l'établissement d'un sillage antisymétrique.","Premier candidat VK ouvert; runner-only, ensuite prolongé/raffiné",0493x8f,0493x8f,OPEN_BOUNDARY,Premier candidat von Karman Q6-g-f à inlet/outlet ouverts
x8g,x8,runner,QUALIFICATION,Décline le benchmark x8f sur la vraie famille io_fullface avec inlet/outlet plein cadre et balanced_flux afin d'isoler la fermeture de masse du chemin ouvert Q6-g-f avant les corrections segmentées ultérieures.,Qualification full-face/mass-balance du candidat VK; runner-only,0493x8g,0493x8g,OPEN_BOUNDARY,Qualification full-face et bilan de masse du VK
x8h,x8,runner,INFRA,"Génère un runner de continuation à partir du x8f courant, valide état/params/chi/grille/dt, conserve l'origine globale des pas et redémarre depuis un dump sans régénérer les particules.",Infrastructure de continuation hydrodynamique; RNG non bitwise continu,0493x8h,0493x8h,OPEN_BOUNDARY,Restart hydrodynamique pour les longs runs VK
x8i,x8,analyseur,ANALYZER,"Caractérise l'état établi issu des continuations x8h : stationnarité amont, amplitude de brisure de symétrie, paire POD, fréquence/Strouhal par rotation de phase, fit harmonique indépendant aux sondes, progression de phase et champs moyennés en phase.",Analyseur du sillage établi; aucune modification du solveur,0493x8i,0493x8i,OPEN_BOUNDARY,Analyse du sillage VK établi par POD et sondes
x8j,x8,analyseur,ANALYZER,"Convertit les mesures du sillage établi x8i dans les conventions propres à Zovatto-Pedrizzetti et Sahin-Owens, compare période/Strouhal et nombres de Reynolds sans mélanger leurs échelles de référence, et documente le conditionnement amont du cas.",Analyse bibliographique/nondimensionnelle; enrichie plus tard par les diagnostics de flux x8n,0493x8j,0493x8j,OPEN_BOUNDARY,Nondimensionnalisation VK et comparaison bibliographique
x8k,x8,runner,CODE,Définit pour chaque segment une coordonnée tangentielle locale eta=(s-sMin)/(sMax-sMin) et impose u_n=4 Umax eta(1-eta) de façon cohérente dans l'injection particulaire et la cible Q6-g-f; la population hard_cell_density reste uniforme.,Actif; sémantique de profil local retenue dans le benchmark Zovatto,0493x8k,0493x8k,OPEN_BOUNDARY,Inlet segmenté à profil de Poiseuille local
x8l,x8,modification code,CODE,"Pour un outlet droit segmenté en mode neumann sur le chemin Q6-g-f, remplace la cible nominale UOUT par la vitesse normale de la cellule de bord afin d'imposer au prédicteur une extrapolation discrète à gradient normal nul. Cette étape ne fournit pas encore la condition de pression correcte, réparée ensuite par x8r.","Étape intermédiaire conservée : extrapolation de vitesse retenue comme base par x8r, mais sémantique de projection x8l seule supersédée",0493x8l,0493x8l,OPEN_BOUNDARY,Première extrapolation Neumann passive de la vitesse de sortie
x8m,x8,runner,BENCHMARK,"Matérialise le cas cylindre confiné Q6-g-f dimensionné sur Zovatto-Pedrizzetti : profil de Poiseuille local pleine hauteur, H/D=5, Re_H cible 280, enregistrement des champs et restart. La lignée x8m passe du domaine de développement réduit au domaine bibliographique 15D amont + 40D aval; son outlet initial est x8l et sera réaligné sur x8t par x8u.","Benchmark de production/restart Zovatto; première lignée sous x8l, ensuite réalignée sur la fermeture x8t",0493x8m,0493x8m,OPEN_BOUNDARY,Benchmark de production Zovatto-Pedrizzetti Re_H=280
x8n,x8,analyseur,ANALYZER,"Analyse hors ligne les enregistrements rho/ux du benchmark x8m et reconstruit par section Ub, Qv, rhoBar, Mrho, Jrho et Urho afin de distinguer accommodation de l'inlet, variation de densité et véritable dérive du flux massique. Aucun état physique n'est modifié.",Diagnostic hors ligne du conditionnement et de la conservation amont; aucune modification du solveur,0493x8n,0493x8n,OPEN_BOUNDARY,Diagnostic de conservation amont du débit et du flux massique
x8q,x8,modification code + runner,CODE,"Complète la sortie Neumann au niveau particulaire : les sortants sont supprimés et la demi-distribution entrante est reconstruite dans la forme finale x8q-fix4 par un bain maxwellien local issu des moments pré-stream des deux couches intérieures, avec échantillonnage pondéré par le flux normal.",Actif pour outlet Neumann; forme finale local-bath après les sous-révisions x8q-fix1..fix4,0493x8q,0493x8q,OPEN_BOUNDARY,Continuation cinétique locale de l'outlet Neumann
x8r,x8,modification code,CODE,"Conserve u*_out=u*_cell comme extrapolation de vitesse prédicteur, mais cesse de la réimposer comme cible physique : la projection impose phi_out=0 à la face ouverte et laisse la correction normale finale être déterminée par la continuité.",Actif; sémantique pression passive du mode openBoundaryOutletMode=neumann,0493x8r,0493x8r,OPEN_BOUNDARY,Outlet de pression Neumann Q6-g-f
x8r-neumann-species,x8,non déterminé,EXPERIMENT,"Remplace le bain cinétique x8q agrégé par un bain [cellule frontière][espèce] afin d'empêcher le mélange de type, masse, moment et température dans la continuation multiphasique.","Tentative expérimentale post-x14av; construction et checks statiques PASS, mais la famille de reconstruction par bain reste non retenue après échec à l'arrivée de l'interface; supersédée par x8v.",0493x8r-neumann-species,0493x8r-neumann-species,OPEN_BOUNDARY_MULTIPHASE,Variante x8r Neumann cinétique séparée par espèce
x8s,x8,modification code,PERF,"Pour le domaine rectangulaire complet avec condition de correction de pression Neumann côté inlet et outlet droit x8r phi=0, résout analytiquement les trois modes longitudinaux de pression les plus lents à l'initialisation du CG puis démarre sur un résidu orthogonal, sans modifier l'équation ni la tolérance.",Actif uniquement dans la géométrie x8r pleine hauteur applicable; physique inchangée,0493x8s,0493x8s,OPEN_BOUNDARY,Déflation exacte des modes longitudinaux lents du CG
x8t,x8,modification code,CODE,"Lorsque la relaxation de densité x7d signée, le domaine de pression complet et l'outlet de pression x8r sont simultanément actifs, retire seulement la moyenne spatiale de la cible de divergence de densité avant la projection afin d'éviter une source volumique globale non intentionnelle.",Actif dans le couplage fullDomain + x8r + relaxation densité; autres topologies inchangées,0493x8t,0493x8t,OPEN_BOUNDARY,Cible de relaxation de densité sans mode moyen à outlet pression
x8u,x8,infrastructure,INFRA,"Met à jour le runner restartable x8m pour utiliser explicitement la fermeture Neumann cinétique-pression validée x8q-x8t, autoriser RUN_MODES et activer par défaut le bruit thermique de l'inlet. Aucun C++/CUDA ni opérateur physique n'est introduit.",Réintégration production de la fermeture x8t dans la lignée x8m; clôture documentaire du cycle x8,0493x8u,0493x8u,OPEN_BOUNDARY,Réalignement du runner Zovatto sur la fermeture x8t
x8v,x8,non déterminé,EXPERIMENT,"Teste une demi-population entrante construite par miroir géométrique de particules réelles proches de la face, sans fit Maxwellien ni bain agrégé.","Prototype physics-first; checks de packaging PASS mais échec runtime précoce rapporté par x8w; non retenu, supersédé par x8w.",0493x8v,0493x8v,OPEN_BOUNDARY_MULTIPHASE,Réplique microscopique miroir pour Neumann cinétique
x8w,x8,non déterminé,EXPERIMENT,"Génère par cellule de face et espèce des particules virtuelles extérieures à partir de l'état de la cellule physique adjacente, puis matérialise uniquement les trajectoires qui recroisent l'outlet.",Échec expérimental documenté: la copie de l'occupation instantanée de la cellule de bord crée une couche de densité précoce; supersédé par x8x.,0493x8w,0493x8w,OPEN_BOUNDARY_MULTIPHASE,Cellules virtuelles statistiques Neumann
x8x,x8,non déterminé,EXPERIMENT,"Sépare support de phase local à la face et état macroscopique du réservoir: fraction d'espèce depuis la cellule frontière, densité et moments depuis un moyennage normal intérieur, population extérieure Poisson indépendante.","Améliore le défaut x8w et passe les checks analytiques de demi-flux, mais la densité de réservoir suit encore le déficit de densité intérieur; supersédé par x8y.",0493x8x,0493x8x,OPEN_BOUNDARY_MULTIPHASE,Réservoir virtuel Neumann coarse-grained
x8y,x8,non déterminé,EXPERIMENT,"Remplace la densité coarse-grained x8x par une occupation de référence Nref, tout en conservant support de phase de face et moments cinétiques coarse-grained par espèce.",Échec post-contact documenté: un ux liquide intérieur négatif est recopié dans le Maxwellien extérieur et transforme le réservoir en injecteur macroscopique; supersédé par x8z.,0493x8y,0493x8y,OPEN_BOUNDARY_MULTIPHASE,Réservoir de pression Neumann à densité de référence
x8z,x8,modification code,FIX,"Impose u_n,ghost=max(u_n,interior,0) dans le repère de normale sortante afin d'interdire une injection macroscopique normale tout en conservant la variance thermique.","Correction partielle: le mode catastrophique normal est ciblé, mais le run 200x400 montre encore une propagation tangentielle du liquide à l'outlet; supersédé par x9a-neumann.",0493x8z,0493x8z,OPEN_BOUNDARY_MULTIPHASE,Clamp du backflow normal du réservoir Neumann
x9a,x9,runner,DIAGNOSTIC,"Construit à partir du champ physique alpha x6c une normale sortante et une courbure cellulaires résidentes, puis audite la courbure aux crossings alpha=0.5, sans sigma, sans modification de phiGamma/RHS/B1 et sans kick particulaire.","Scaffold passif historique; géométrie seulement, sans tension superficielle active",0493x9a,0493x9a,SURFACE_TENSION,Premier scaffold passif de courbure résident
x9a-neumann,x9,modification code,FIX,"Lorsque le coarse state indique un backflow, annule les deux composantes de vitesse moyenne du réservoir tout en conservant la variance thermique et donc les recroisements microscopiques Maxwelliens.","Correction partielle: supprime le mode backflow/sliding dominant, mais le test 200x400 laisse un obstacle cinétique résiduel à la sortie du liquide; supersédée par x9b-neumann.",0493x9a-neumann,0493x9a-neumann,OPEN_BOUNDARY_MULTIPHASE,Annulation du drift complet du réservoir en backflow
x9b,x9,runner,DIAGNOSTIC,"Ajoute un champ alphaK réservé à la courbure : une passe binomiale 3x3 sur alpha_x6c, gradient Scharr, normale sortante puis divergence Scharr. L'interface physique reste celle de x6c alpha=0.5; le champ est visualisable directement depuis CUDA.",Estimateur passif p1 conservé comme baseline; aucune physique capillaire active,0493x9b,0493x9b,SURFACE_TENSION,Courbure passive binomiale + Scharr et LiveVis résident
x9b-neumann,x9,modification code,FIX,Conserve le réservoir de pression x9a-neumann pour le gaz mais désactive toute génération de candidats virtuels pour le liquide; les particules liquides qui traversent l'outlet restent supprimées par le chemin physique crossing→inactive.,"Amélioration forte du déchargement liquide sur 200x400 et 400x400, mais révèle un artefact topologique de type 'hachoir': perte de support alpha au dernier maillon et création d'un end-cap artificiel; supersédée par x9c-outlet.",0493x9b-neumann,0493x9b-neumann,OPEN_BOUNDARY_MULTIPHASE,Réservoir gaz avec outflow liquide strict
x9c,x9,runner,QUALIFICATION,"Compare passivement, avec le même opérateur Scharr, une, deux et trois passes binomiales 3x3 du champ alphaK sur une matrice gamma/rayon. La production retient ensuite p3, soit trois passes, comme compromis de courbure utilisé par x9d.","Qualification passive; sélectionne p3 pour la courbure de production, sans déplacer l'interface x6c",0493x9c,0493x9c,SURFACE_TENSION,Qualification du support de lissage de courbure
x9c-outlet,x9,modification code,FIX,"Étend d'une cellule le support alpha liquide sur les cellules d'outlet segmenté Neumann par alpha_boundary=max(alpha_boundary,alpha_inward), sur x6c et x10-CIC, sans créer masse, quantité de mouvement ni énergie.","Candidat physics-first retenu après runs applicatifs 200x400 et 400x400: comportement de frontière jugé convaincant et réduction nette du hachage visuel; petites détachements résiduels possibles au 200x400, non évidents au 400x400. Qualification qualitative ciblée seulement; l'analyseur x14av reste DEMONSTRATION_DIAGNOSTIC_ONLY.",0493x9c-outlet,0493x9c-outlet,OPEN_BOUNDARY_MULTIPHASE,Prolongation du support de phase à l'outlet Neumann
x9d,x9,runner + analyseur,CODE,"Ajoute surfaceTensionSigma et utilise la courbure p3 qualifiée par x9c pour imposer aux crossings physiques x6f phiGamma_cap=(dt/rhoA_ref)*sigma*kappaGamma, composé avec la pression extérieure x6g. Aucun terme CSF volumique ni kick capillaire particulaire n'est ajouté.",Coeur actif de la capillarité bulk; sigma=0 est un no-op exact,0493x9d,0493x9d,SURFACE_TENSION,Premier saut de Laplace actif dans Q6-g-f
x9d-fix1-neumann,x9,modification code,PERF,"Optimise l'implémentation x9c-outlet/x9b-neumann sans changer la physique: compteurs et tail-pool persistants, métadonnées espèce mises à jour seulement sur changement, synchronisation pré-candidats supprimée, comptages candidats/inactifs exacts et géométrie de lancement ajustée au compte exact.",Optimisation structurelle attestée et smoke physique court cohérent avec x9c-outlet; gain de performance NON QUALIFIE car le triplet baseline/optimisé/baseline présente une dispersion murale supérieure à l'effet mesuré.,0493x9d-fix1-neumann,0493x9d-fix1-neumann,OPEN_BOUNDARY_MULTIPHASE,Workspace résident et comptages exacts pour la continuation Neumann
x9e,x9,runner + analyseur,DIAGNOSTIC,"Ajoute à cadence de résumé des réductions CUDA strictement observationnelles : aire/Reff, pression Q6 cohérente avec la jauge x6g, saut de pression, sigma/Reff, courbure d'interface, résultante capillaire et vitesses liquides/spurious currents.",Diagnostic/qualification au-dessus de x9d; physique inchangée,0493x9e,0493x9e,SURFACE_TENSION,Qualification diagnostique de goutte statique
x9e-fix1,x9,modification code,FIX,"Corrige uniquement un retour à la ligne source inséré dans le littéral C/C++ du banner runtime x9e-neumann, qui provoquait une erreur nvcc de quote non fermée.",Correctif de compilation historique; aucune loi physique ni logique de performance modifiée.,0493x9e-fix1,0493x9e-fix1,OPEN_BOUNDARY_MULTIPHASE,Correction de compilation du banner x9e-neumann
x9e-fix2,x9,modification code,PERF,Supprime du chemin normal x9e-neumann le scan O(Nactive) de role[] lorsque les comptages insertion/suppression prouvent un pas exactement équilibré; conserve un oracle full-prefix optionnel et le fallback exact 0315c.,Optimisation intermédiaire; l’hypothèse de pas équilibré s’avère trop restrictive pour le hard-reservoir réel et est remplacée par x9e-fix2b puis x9e-fix3.,0493x9e-fix2,0493x9e-fix2,OPEN_BOUNDARY_MULTIPHASE,Fast path par invariant comptable de compacité
x9e-fix2b,x9,modification code,FIX,Remplace le critère dense de x9e-fix2 par une vérification CUDA O(deletedCount) des seuls slots supprimés et réutilisés; le fast path exige encore expectedActive=oldActive et conserve l’oracle full-prefix optionnel ainsi que le fallback 0315c.,Correctif intermédiaire de x9e-fix2; le diagnostic de premier fallback montre qu’un pas hard-reservoir légitime peut avoir un bilan net négatif et motive x9e-fix3.,0493x9e-fix2b,0493x9e-fix2b,OPEN_BOUNDARY_MULTIPHASE,Invariant ciblé sur la liste des slots supprimés
x9e-fix3,x9,modification code,PERF,"Remplace la réparation globale 0315c du chemin normal par une réparation exacte bornée au support muté: trous dérivés de deletedIndices, donneurs bornés par le tail du pool, appariement lowest-hole/highest-donor compatible 0315c, vérification exacte du support et fallback 0315c sur tout cas atypique.",Chemin de production intégré à surf et qualifié au niveau implémentation/non-régression: algorithme pré-cleanup passé sur 3000 pas; cleanup final passé sur smoke surf 400x400 250/250 avec fast path ciblé actif et sans fallback observé. Physique x9c-outlet inchangée; aucune qualification universelle de toutes les sorties Neumann n’est revendiquée.,0493x9e-fix3,0493x9e-fix3,OPEN_BOUNDARY_MULTIPHASE,Réparation ciblée exacte du préfixe actif
x9e-neumann,x9,modification code,PERF,Ajoute à x9d-fix1-neumann un pool résident [slots supprimés du pas | tail inactif compact] réutilisé pour les insertions Neumann/réservoir et un fast path de réparation du préfixe actif; la physique reste explicitement celle de x9c-outlet.,"Optimisation de base intégrée à surf; physique x9c-outlet inchangée. La réparation de préfixe initiale est ensuite raffinée par x9e-fix2, x9e-fix2b puis x9e-fix3.",0493x9e-neumann,0493x9e-neumann,OPEN_BOUNDARY_MULTIPHASE,Pool résident de recyclage des slots supprimés
x9f,x9,runner + analyseur,DIAGNOSTIC,"Remplace la bande diagnostique alpha 0.1-0.9 par le critère discret de crossing alpha=0.5 et suit COM particulaire, tenseur de moments, rayons principaux, ellipticité et rayons des crossings pour qualifier la relaxation capillaire d'une ellipse vers une goutte circulaire.",Diagnostic de forme/relaxation au-dessus de x9e; aucune modification de la capillarité,0493x9f,0493x9f,SURFACE_TENSION,Diagnostic de bande interfaciale vraie et relaxation elliptique
x9g,x9,runner + analyseur,CODE,"Remplace dans la chaîne de production x6c/x6f/x6g/x9d l'hypothèse Liquid/Gas codée en dur par deux sélecteurs A/B. A est le côté alpha-high projeté et fournit masse/référence; B est le côté extérieur et peut sélectionner famille, type explicite ou vacuum. Le chemin historique liquid/gas reste byte-for-byte équivalent dans la qualification.",Actif; abstraction de paire sans prétendre fournir un solveur immiscible symétrique général,0493x9g,0493x9g,SURFACE_TENSION,Généralisation de l'interface aux paires de phases A/B
x9h,x9,runner + analyseur,CODE,"Active B=wall comme troisième objet géométrique indépendant des phases particulaires : combine parois de domaine et, sur opt-in wallVP, géométrie chi avec S=1-chi; fournit fraction solide et normale murale résidentes sans modifier alpha libre ni imposer encore angle de contact ou saut capillaire liquide/solide.",Géométrie-only qualifiée; capillarité/mouillage avec B=wall encore interdits à cette étape,0493x9h,0493x9h,SURFACE_TENSION,Provider géométrique résident de paroi
