Inventaire source,Type entrée,Nom,Catégorie,Statut,Type attendu,Défaut,Effet / rôle,Remarques,Sources repérées
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_SPLIT_PREFER_MAX_MASS_DONOR_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,booléen/env truthy,true,Choisit préférentiellement le donneur le plus massif pour un split.,Réduit le risque de resplit de particules déjà allégées.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_SPLIT_DONOR_MIN_MASS_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,réel,0.5,Masse minimale du donneur pour autoriser un split.,Empêche les splits issus de particules trop légères.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_SPLIT_NEW_PARTICLE_MIN_MASS_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,réel,0.25,Masse minimale de la particule créée par split et du donneur après split.,Valeur validée pour couper les outliers de masse/vitesse.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_SOLID_ADJACENT_SPLIT_MODE_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307,"entier/enum 0 normal, 1 cautious, 2 off",0 nominal,Contrôle le split dans les cellules solid-adjacent.,Le mode normal avec split-safety suffit pour le nominal; cautious/off restent diagnostiques.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_SOLID_ADJACENT_DONOR_MIN_MASS_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307,réel,1.0 en mode cautious,Masse donneur minimale renforcée pour les cellules solid-adjacent.,Utilisé en mode solid_cautious; non nécessaire dans le mode nominal 0308.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_TINY_MASS_THRESHOLD_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307,réel,0.1 ou valeur script,Seuil de diagnostic des particules ou splits de masse très faible.,Produit les compteurs splitFromMassBelow*_0307.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_INACTIVE_TAIL_POOL_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,booléen/env truthy,true/on,Active le fast path de collecte de slots inactifs en queue de tableau.,Fallback exact conservé par défaut si la fenêtre ne suffit pas.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_INACTIVE_TAIL_POOL_MIN_SCAN_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,entier,8192,Taille minimale de fenêtre scannée dans la queue inactive.,Paramètre de performance; ne change pas la physique.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_INACTIVE_TAIL_POOL_MAX_SCAN_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,entier,262144,Taille maximale de fenêtre scannée dans la queue inactive.,Borne le coût du fast path avant fallback.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_INACTIVE_TAIL_POOL_SCAN_MULT_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,réel/entier,4,Facteur multiplicatif entre besoin estimé de slots et fenêtre scannée.,Augmenter si le fallback complet se déclenche trop souvent.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_INACTIVE_TAIL_POOL_NO_FALLBACK_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,booléen/env truthy,false/off,Désactive le fallback complet si activé.,À réserver aux audits; le nominal garde le fallback exact.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,INACTIVE_SLOTS,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",script/demo/audit,alias script utilisateur,selon script; éviter les millions,Nombre de slots Inactive préalloués dans les scripts et audits.,N’est pas une clé params.kv directe universelle; transmis par les générateurs d’état/scripts.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,DUMP_ROLE_FILTER,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",script 0314,alias script utilisateur,fluid dans scripts visuels 0309+,Alias script vers dumpRoleFilter.,fluid produit des dumps compacts de visualisation; all reste restart-compatible.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,SUMMARY_ROLE_FILTER,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",script 0314,alias script utilisateur,fluid dans scripts visuels 0309+,Alias script vers summaryRoleFilter.,fluid évite de résumer inutilement les slots Inactive.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_params,param_or_script_alias,dumpRoleFilter,Dumps et post-traitement,ajout 0314,all|fluid,all dans le cœur; fluid dans scripts visuels,Contrôle si les dumps .smpcd écrivent tous les slots ou seulement les particules Fluid.,fluid accélère visualisation/post-traitement mais ne doit pas être utilisé pour un restart complet.,
resampling_params,param_or_script_alias,summaryRoleFilter,Summaries runtime,ajout 0314,all|fluid,all dans le cœur; fluid dans scripts visuels,Contrôle si les summaries parcourent tous les slots ou un état compact fluide.,fluid réduit le coût lorsque INACTIVE_SLOTS est grand.,
resampling_params,param_or_script_alias,DUMP_ROLE_FILTER,Alias script,ajout 0314,all|fluid,fluid dans scripts visual 0309+,Alias exporté par les scripts vers dumpRoleFilter.,"Paramètre de script, pas toujours une clé directe.",
resampling_params,param_or_script_alias,SUMMARY_ROLE_FILTER,Alias script,ajout 0314,all|fluid,fluid dans scripts visual 0309+,Alias exporté par les scripts vers summaryRoleFilter.,"Paramètre de script, pas toujours une clé directe.",
resampling_params,param_or_script_alias,INACTIVE_SLOTS,Capacité particulaire,consolidé 0311-0312,entier,50k-120k selon cas; pas de défaut universel,Nombre de slots Inactive préalloués par les générateurs/scripts.,La réserve peut être grande sans être écrite dans les dumps si dumpRoleFilter=fluid.,
0338c wall+circle resident bridge,env_flag,MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_MINIMAL_DOWNLOAD_0338,CUDA performance / wall+circle resident 0318,ajout 0338c; opt-in; validé classic wall+circle non-VIZ et VIZ,booléen/env truthy,false/off,"Active le pont 0338 pour le chemin wall+circle résident 0318 : immersed_circle reconnaît 0318 comme résident, supprime le download cercle et autorise src_collision à consommer l’état partagé CUDA 0251 frais.",À activer avec MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318=1 pour le cas classic wall+circle validé. Ne pas généraliser sans validation Q6/resampling/viriel; préserver les miroirs host lorsque ces voies hybrides sont actives.,src/cuda_persistent_mpcd_step.cu; src/cuda_immersed_circle_0284.cu; src/src_collision.cpp; doc/host_device_authority_0340.md
0338c wall+circle resident bridge,env_flag,MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_DISABLE_MINIMAL_DOWNLOAD_0338,CUDA sécurité / wall+circle resident 0318,ajout 0338c; debug/rollback,booléen/env truthy,false/off,Désactive explicitement le pont minimal-download 0338 même si le flag d’activation est présent.,Garde-fou pour comparaison flag ON/OFF et rollback rapide.,src/cuda_persistent_mpcd_step.cu
