Catégorie,Champ canonique,Alias acceptés / formes liées,Type,Défaut,Valeurs possibles / contraintes,Condition d'activation / remarques,Signification,Source
Réponse capacité fermée / viriel,closedCapacityVirialMomentumCorrectionEnable,,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Si réponse active et kick viriel actif.,Corrige globalement le moment après kick viriel.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityInletMassFluxEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Si réponse active.,Active une loi de flux de masse d’entrée pilotée par capacité.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityInletMassFluxMultiplier,,double,1.0,>=0,Si réponse active.,Multiplicateur du flux de masse inlet piloté par capacité.,simulation_params.h; params_io_base.cpp
Resampling pondéré — cible,resamplingTargetCellMass,weightedResamplingTargetCellMass,double,0.0,>=0; 0 => infère la masse moyenne courante,,Masse cible par cellule pour diagnostics/remap resampling.,simulation_params.h; params_io_base.cpp
Resampling pondéré — masque wet,resamplingWetMaskMode,,enum string,active_domain,active_domain; occupied,Les tirets sont normalisés en underscores.,Définition des cellules wet/actives pour le resampling.,simulation_params.h; params_io_base.cpp
Resampling pondéré — masque wet,resamplingWetCellMassThreshold,resamplingWetMassThreshold,double,0.0,>=0,,Seuil de masse minimale d’une cellule wet.,simulation_params.h; params_io_base.cpp
Resampling pondéré — seuils pauvre/riche,resamplingPoorCellMassFraction,resamplingPoorMassFraction,double,0.5,>=0,,Fraction de masse cible sous laquelle une cellule est pauvre.,simulation_params.h; params_io_base.cpp
Resampling pondéré — seuils pauvre/riche,resamplingRichCellMassFraction,resamplingRichMassFraction,double,1.5,> resamplingPoorCellMassFraction,,Fraction de masse cible au-dessus de laquelle une cellule est riche.,simulation_params.h; params_io_base.cpp
Resampling pondéré — masque wet,resamplingActiveFluidFractionThreshold,,double,0.5,"[0,1]",,Seuil de fraction fluide active pour considérer une cellule éligible.,simulation_params.h; params_io_base.cpp
Resampling pondéré — switches,resamplingEnable,weightedResamplingEnable,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Switch maître de toutes les opérations de rôle/changement de population.,simulation_params.h; params_io_base.cpp
Resampling pondéré — switches,resamplingExtractionEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,"Si insertion=true, extraction doit être true.",Active l’extraction Fluid -> Inactive depuis cellules riches.,simulation_params.h; params_io_base.cpp
Resampling pondéré — switches,resamplingInsertionEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Exige resamplingExtractionEnable=true.,Active l’insertion Inactive -> Fluid vers cellules pauvres.,simulation_params.h; params_io_base.cpp
Resampling pondéré — switches,resamplingRemapEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Active le remap/renormalisation locale de masse.,simulation_params.h; params_io_base.cpp
Resampling pondéré — switches,resamplingThermalRenormalizationEnable,resamplingThermalRenormalisationEnable,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Active la correction thermique liée au resampling.,simulation_params.h; params_io_base.cpp
Resampling pondéré — masse,resamplingMassRenormalizationPeriod,resamplingMassRenormalisationPeriod; resamplingRemapPeriod; resamplingMassRemapPeriod,entier,1,>=0; 0 désactive remap/guard de masse,,Période K de renormalisation/remap de masse.,simulation_params.h; params_io_base.cpp
Resampling pondéré — masse,resamplingMassGuardEnable,resamplingMassSafetyEnable,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Exige resamplingRemapEnable=true.,Active le garde de bornes de masse particulaire.,simulation_params.h; params_io_base.cpp
Resampling pondéré — masse,resamplingParticleMassMin,resamplingMassMin,double,0.25,>=0,,Borne inférieure de masse particulaire.,simulation_params.h; params_io_base.cpp
Resampling pondéré — masse,resamplingParticleMassMax,resamplingMassMax,double,4.0,> resamplingParticleMassMin,,Borne supérieure de masse particulaire.,simulation_params.h; params_io_base.cpp
Resampling pondéré — latent,resamplingLatentActivationEnable,resamplingLatentToFluidEnable,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Active la conversion Latent -> Fluid pour remplir les cellules pauvres/vides.,simulation_params.h; params_io_base.cpp
Resampling pondéré — latent,resamplingLatentActivationMaxPerCell,,entier,1,>0 si activation latente active,,Nombre maximal d’activations latentes par cellule.,simulation_params.h; params_io_base.cpp
Resampling pondéré — latent,resamplingLatentActivationParticleMass,resamplingLatentParticleMass,double,0.0,>=0; 0 => targetCellMass/maxPerCell,,Masse attribuée aux particules activées depuis latent.,simulation_params.h; params_io_base.cpp
Resampling pondéré — population,resamplingPopulationNMin,resamplingNMin,entier,0,>=0; 0 avec les deux autres bornes => inférence,"Si explicite, NMin<NTarget<NMax.",Borne basse de population par cellule.,simulation_params.h; params_io_base.cpp
Resampling pondéré — population,resamplingPopulationNTarget,resamplingNTarget,entier,0,>=0; 0 avec les deux autres bornes => inférence,"Si explicite, NMin<NTarget<NMax.",Population cible par cellule.,simulation_params.h; params_io_base.cpp
Resampling pondéré — population,resamplingPopulationNMax,resamplingNMax,entier,0,>=0; 0 avec les deux autres bornes => inférence,"Si explicite, NMin<NTarget<NMax.",Borne haute de population par cellule.,simulation_params.h; params_io_base.cpp
Resampling pondéré — population,resamplingPopulationNMinFraction,resamplingNMinFraction,double,0.70,"(0,1]",Si resamplingEnable=true.,Fraction utilisée pour inférer NMin.,simulation_params.h; params_io_base.cpp
Resampling pondéré — population,resamplingPopulationNMaxFraction,resamplingNMaxFraction,double,1.30,>=1,Si resamplingEnable=true.,Fraction utilisée pour inférer NMax.,simulation_params.h; params_io_base.cpp
Resampling pondéré — population,resamplingPopulationMaxSplitsPerCell,resamplingNMaxSplitsPerCell,entier,16,>=0,Si resamplingEnable=true.,Limite de splits par cellule et par step.,simulation_params.h; params_io_base.cpp
Resampling pondéré — population,resamplingPopulationMaxSplitsPerStep,resamplingNMaxSplitsPerStep,entier,200000,>=0,Si resamplingEnable=true.,Limite globale de splits par step.,simulation_params.h; params_io_base.cpp
Resampling pondéré — population,resamplingPopulationMaxExtractionsPerCell,resamplingNMaxExtractionsPerCell,entier,64,>=0,Si resamplingEnable=true.,Limite d’extractions par cellule et par step.,simulation_params.h; params_io_base.cpp
Resampling pondéré — population,resamplingPopulationMaxExtractionsPerStep,resamplingNMaxExtractionsPerStep,entier,200000,>=0,Si resamplingEnable=true.,Limite globale d’extractions par step.,simulation_params.h; params_io_base.cpp
