Clé utilisable dans params.kv,Champ canonique / cible,Statut,Type,Valeurs possibles / contraintes,Défaut canonique,Signification courte,Catégorie
resamplingLatentParticleMass,resamplingLatentActivationParticleMass,alias accepté,double,>=0; 0 => targetCellMass/maxPerCell,0.0,Masse attribuée aux particules activées depuis latent.,Resampling pondéré — latent
resamplingLatentToFluidEnable,resamplingLatentActivationEnable,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active la conversion Latent -> Fluid pour remplir les cellules pauvres/vides.,Resampling pondéré — latent
resamplingMassGuardEnable,resamplingMassGuardEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active le garde de bornes de masse particulaire.,Resampling pondéré — masse
resamplingMassMax,resamplingParticleMassMax,alias accepté,double,> resamplingParticleMassMin,4.0,Borne supérieure de masse particulaire.,Resampling pondéré — masse
resamplingMassMin,resamplingParticleMassMin,alias accepté,double,>=0,0.25,Borne inférieure de masse particulaire.,Resampling pondéré — masse
resamplingMassRemapPeriod,resamplingMassRenormalizationPeriod,alias accepté,entier,>=0; 0 désactive remap/guard de masse,1,Période K de renormalisation/remap de masse.,Resampling pondéré — masse
resamplingMassRenormalisationPeriod,resamplingMassRenormalizationPeriod,alias accepté,entier,>=0; 0 désactive remap/guard de masse,1,Période K de renormalisation/remap de masse.,Resampling pondéré — masse
resamplingMassRenormalizationPeriod,resamplingMassRenormalizationPeriod,canonique,entier,>=0; 0 désactive remap/guard de masse,1,Période K de renormalisation/remap de masse.,Resampling pondéré — masse
resamplingMassSafetyEnable,resamplingMassGuardEnable,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active le garde de bornes de masse particulaire.,Resampling pondéré — masse
resamplingNMax,resamplingPopulationNMax,alias accepté,entier,>=0; 0 avec les deux autres bornes => inférence,0,Borne haute de population par cellule.,Resampling pondéré — population
resamplingNMaxExtractionsPerCell,resamplingPopulationMaxExtractionsPerCell,alias accepté,entier,>=0,64,Limite d’extractions par cellule et par step.,Resampling pondéré — population
resamplingNMaxExtractionsPerStep,resamplingPopulationMaxExtractionsPerStep,alias accepté,entier,>=0,200000,Limite globale d’extractions par step.,Resampling pondéré — population
resamplingNMaxFraction,resamplingPopulationNMaxFraction,alias accepté,double,>=1,1.30,Fraction utilisée pour inférer NMax.,Resampling pondéré — population
resamplingNMaxSplitsPerCell,resamplingPopulationMaxSplitsPerCell,alias accepté,entier,>=0,16,Limite de splits par cellule et par step.,Resampling pondéré — population
resamplingNMaxSplitsPerStep,resamplingPopulationMaxSplitsPerStep,alias accepté,entier,>=0,200000,Limite globale de splits par step.,Resampling pondéré — population
resamplingNMin,resamplingPopulationNMin,alias accepté,entier,>=0; 0 avec les deux autres bornes => inférence,0,Borne basse de population par cellule.,Resampling pondéré — population
resamplingNMinFraction,resamplingPopulationNMinFraction,alias accepté,double,"(0,1]",0.70,Fraction utilisée pour inférer NMin.,Resampling pondéré — population
resamplingNTarget,resamplingPopulationNTarget,alias accepté,entier,>=0; 0 avec les deux autres bornes => inférence,0,Population cible par cellule.,Resampling pondéré — population
resamplingParticleMassMax,resamplingParticleMassMax,canonique,double,> resamplingParticleMassMin,4.0,Borne supérieure de masse particulaire.,Resampling pondéré — masse
resamplingParticleMassMin,resamplingParticleMassMin,canonique,double,>=0,0.25,Borne inférieure de masse particulaire.,Resampling pondéré — masse
resamplingPoorCellMassFraction,resamplingPoorCellMassFraction,canonique,double,>=0,0.5,Fraction de masse cible sous laquelle une cellule est pauvre.,Resampling pondéré — seuils pauvre/riche
resamplingPoorMassFraction,resamplingPoorCellMassFraction,alias accepté,double,>=0,0.5,Fraction de masse cible sous laquelle une cellule est pauvre.,Resampling pondéré — seuils pauvre/riche
resamplingPopulationMaxExtractionsPerCell,resamplingPopulationMaxExtractionsPerCell,canonique,entier,>=0,64,Limite d’extractions par cellule et par step.,Resampling pondéré — population
resamplingPopulationMaxExtractionsPerStep,resamplingPopulationMaxExtractionsPerStep,canonique,entier,>=0,200000,Limite globale d’extractions par step.,Resampling pondéré — population
resamplingPopulationMaxSplitsPerCell,resamplingPopulationMaxSplitsPerCell,canonique,entier,>=0,16,Limite de splits par cellule et par step.,Resampling pondéré — population
resamplingPopulationMaxSplitsPerStep,resamplingPopulationMaxSplitsPerStep,canonique,entier,>=0,200000,Limite globale de splits par step.,Resampling pondéré — population
resamplingPopulationNMax,resamplingPopulationNMax,canonique,entier,>=0; 0 avec les deux autres bornes => inférence,0,Borne haute de population par cellule.,Resampling pondéré — population
resamplingPopulationNMaxFraction,resamplingPopulationNMaxFraction,canonique,double,>=1,1.30,Fraction utilisée pour inférer NMax.,Resampling pondéré — population
resamplingPopulationNMin,resamplingPopulationNMin,canonique,entier,>=0; 0 avec les deux autres bornes => inférence,0,Borne basse de population par cellule.,Resampling pondéré — population
resamplingPopulationNMinFraction,resamplingPopulationNMinFraction,canonique,double,"(0,1]",0.70,Fraction utilisée pour inférer NMin.,Resampling pondéré — population
resamplingPopulationNTarget,resamplingPopulationNTarget,canonique,entier,>=0; 0 avec les deux autres bornes => inférence,0,Population cible par cellule.,Resampling pondéré — population
resamplingRemapEnable,resamplingRemapEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active le remap/renormalisation locale de masse.,Resampling pondéré — switches
resamplingRemapPeriod,resamplingMassRenormalizationPeriod,alias accepté,entier,>=0; 0 désactive remap/guard de masse,1,Période K de renormalisation/remap de masse.,Resampling pondéré — masse
resamplingRichCellMassFraction,resamplingRichCellMassFraction,canonique,double,> resamplingPoorCellMassFraction,1.5,Fraction de masse cible au-dessus de laquelle une cellule est riche.,Resampling pondéré — seuils pauvre/riche
resamplingRichMassFraction,resamplingRichCellMassFraction,alias accepté,double,> resamplingPoorCellMassFraction,1.5,Fraction de masse cible au-dessus de laquelle une cellule est riche.,Resampling pondéré — seuils pauvre/riche
resamplingTargetCellMass,resamplingTargetCellMass,canonique,double,>=0; 0 => infère la masse moyenne courante,0.0,Masse cible par cellule pour diagnostics/remap resampling.,Resampling pondéré — cible
resamplingThermalRenormalisationEnable,resamplingThermalRenormalizationEnable,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active la correction thermique liée au resampling.,Resampling pondéré — switches
resamplingThermalRenormalizationEnable,resamplingThermalRenormalizationEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active la correction thermique liée au resampling.,Resampling pondéré — switches
resamplingWetCellMassThreshold,resamplingWetCellMassThreshold,canonique,double,>=0,0.0,Seuil de masse minimale d’une cellule wet.,Resampling pondéré — masque wet
resamplingWetMaskMode,resamplingWetMaskMode,canonique,enum string,active_domain; occupied,active_domain,Définition des cellules wet/actives pour le resampling.,Resampling pondéré — masque wet
resamplingWetMassThreshold,resamplingWetCellMassThreshold,alias accepté,double,>=0,0.0,Seuil de masse minimale d’une cellule wet.,Resampling pondéré — masque wet
rngSeed,rngSeed,canonique,uint64,entier non signé 64 bits,12345,Graine de génération pseudo-aléatoire.,Temps et collision SRC
rotationAngle,rotationAngle,canonique,double,réel non NaN; alphaDeg converti en radians,2.0943951023931953 rad,Angle de rotation SRD/MPCD.,Temps et collision SRC
summaryEvery,summaryEvery,canonique,entier,entier > 0,10,Cadence d’écriture de summary_runtime.csv et d’affichage de progression.,I/O et exécution
targetMeanUx,targetMeanUx,canonique,double,nombre réel fini,0.0,Vitesse moyenne cible en x.,Forçage et contrôle d’écoulement
targetMeanUy,targetMeanUy,canonique,double,nombre réel fini,0.0,Vitesse moyenne cible en y.,Forçage et contrôle d’écoulement
taylorGreenForcingAmplitude,taylorGreenForcingAmplitude,canonique,double,>= 0,0.0,Amplitude A du forçage Taylor–Green.,Forçage Taylor–Green
taylorGreenForcingEnable,taylorGreenForcingEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active un forçage corporel périodique divergence-free de type Taylor–Green.,Forçage Taylor–Green
taylorGreenForcingModeX,taylorGreenForcingModeX,canonique,entier,> 0,1,Nombre d’onde entier en x du forçage Taylor–Green.,Forçage Taylor–Green
taylorGreenForcingModeY,taylorGreenForcingModeY,canonique,entier,> 0,1,Nombre d’onde entier en y du forçage Taylor–Green.,Forçage Taylor–Green
tgForceAmplitude,taylorGreenForcingAmplitude,alias accepté,double,>= 0,0.0,Amplitude A du forçage Taylor–Green.,Forçage Taylor–Green
tgForcingAmplitude,taylorGreenForcingAmplitude,alias accepté,double,>= 0,0.0,Amplitude A du forçage Taylor–Green.,Forçage Taylor–Green
tgForcingEnable,taylorGreenForcingEnable,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active un forçage corporel périodique divergence-free de type Taylor–Green.,Forçage Taylor–Green
tgForcingModeX,taylorGreenForcingModeX,alias accepté,entier,> 0,1,Nombre d’onde entier en x du forçage Taylor–Green.,Forçage Taylor–Green
tgForcingModeY,taylorGreenForcingModeY,alias accepté,entier,> 0,1,Nombre d’onde entier en y du forçage Taylor–Green.,Forçage Taylor–Green
thermostatEnable,thermostatEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active le thermostat mass-aware par cellule.,Thermostat
thermostatEpsilon,thermostatEpsilon,canonique,double,>0 si thermostatEnable=true,1.0e-30,Seuil numérique anti-division par zéro du thermostat.,Thermostat
thermostatEvery,thermostatEvery,canonique,entier,>0 si thermostatEnable=true,1,Cadence du thermostat en pas de temps.,Thermostat
thermostatMinParticles,thermostatMinParticles,canonique,entier,>=2 si thermostatEnable=true,3,Nombre minimal de particules d’une cellule pour thermostat.,Thermostat
thermostatMode,thermostatMode,canonique,enum string,cell_relative_rescale,cell_relative_rescale,Mode de thermostat: rescale des vitesses relatives au centre de masse cellulaire.,Thermostat
thermostatTargetKBT,thermostatTargetKBT,canonique,double,négatif => hérite de kBT; sinon >0; 0 invalide si actif,-1.0,Température cinétique cible du thermostat.,Thermostat
U0,targetMeanUx,alias accepté,double,nombre réel fini,0.0,Vitesse moyenne cible en x.,Forçage et contrôle d’écoulement
wallAccommodation,wallAccommodation,canonique,double,"[0,1]",1.0,"Coefficient d’accommodation de paroi: 0 glissant/specular-like, 1 couplage thermique complet.",Parois
wallKBT,wallKBT,canonique,double,négatif => hérite de kBT; sinon >0 si couplage actif,-1.0,Température cinétique de paroi.,Parois
wallThermalNoise,wallThermalNoise,canonique,double,>= 0,1.0,Amplitude du bruit thermique de paroi; 0 donne un couplage déterministe.,Parois
wallUxBottom,wallVpUxBottom,alias accepté,double,nombre réel fini,0.0,Composante x de la vitesse de paroi sur la face bottom.,Parois — vitesses
wallUxLeft,wallVpUxLeft,alias accepté,double,nombre réel fini,0.0,Composante x de la vitesse de paroi sur la face left.,Parois — vitesses
wallUxRight,wallVpUxRight,alias accepté,double,nombre réel fini,0.0,Composante x de la vitesse de paroi sur la face right.,Parois — vitesses
wallUxTop,wallVpUxTop,alias accepté,double,nombre réel fini,0.0,Composante x de la vitesse de paroi sur la face top.,Parois — vitesses
wallUyBottom,wallVpUyBottom,alias accepté,double,nombre réel fini,0.0,Composante y de la vitesse de paroi sur la face bottom.,Parois — vitesses
wallUyLeft,wallVpUyLeft,alias accepté,double,nombre réel fini,0.0,Composante y de la vitesse de paroi sur la face left.,Parois — vitesses
wallUyRight,wallVpUyRight,alias accepté,double,nombre réel fini,0.0,Composante y de la vitesse de paroi sur la face right.,Parois — vitesses
wallUyTop,wallVpUyTop,alias accepté,double,nombre réel fini,0.0,Composante y de la vitesse de paroi sur la face top.,Parois — vitesses
wallVpEnable,wallVpEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active explicitement le couplage virtual-particle de paroi legacy.,Parois
wallVpGamma,wallVpGamma,canonique,double,>= 0; 0 infère l’occupation moyenne réelle,0.0,Population virtuelle de paroi dans une cellule de collision entièrement solide.,Parois
wallVpKBT,wallVpKBT,canonique,double,alias legacy thermique; négatif => hérite de kBT; 0 invalide si actif,-1.0,Ancien paramètre de température de paroi VP.,Parois
wallVpMass,wallVpMass,canonique,double,> 0,1.0,Masse des particules virtuelles/agrégat de paroi.,Parois
wallVpMode,wallVpMode,canonique,enum string,thermal; deterministic_thermal; stochastic_fraction,thermal,Mode de couplage thermique de paroi; stochastic_fraction est accepté comme alias legacy.,Parois
wallVpUxBottom,wallVpUxBottom,canonique,double,nombre réel fini,0.0,Composante x de la vitesse de paroi sur la face bottom.,Parois — vitesses
wallVpUxLeft,wallVpUxLeft,canonique,double,nombre réel fini,0.0,Composante x de la vitesse de paroi sur la face left.,Parois — vitesses
wallVpUxRight,wallVpUxRight,canonique,double,nombre réel fini,0.0,Composante x de la vitesse de paroi sur la face right.,Parois — vitesses
wallVpUxTop,wallVpUxTop,canonique,double,nombre réel fini,0.0,Composante x de la vitesse de paroi sur la face top.,Parois — vitesses
wallVpUyBottom,wallVpUyBottom,canonique,double,nombre réel fini,0.0,Composante y de la vitesse de paroi sur la face bottom.,Parois — vitesses
wallVpUyLeft,wallVpUyLeft,canonique,double,nombre réel fini,0.0,Composante y de la vitesse de paroi sur la face left.,Parois — vitesses
wallVpUyRight,wallVpUyRight,canonique,double,nombre réel fini,0.0,Composante y de la vitesse de paroi sur la face right.,Parois — vitesses
wallVpUyTop,wallVpUyTop,canonique,double,nombre réel fini,0.0,Composante y de la vitesse de paroi sur la face top.,Parois — vitesses
weightedResamplingEnable,resamplingEnable,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Switch maître de toutes les opérations de rôle/changement de population.,Resampling pondéré — switches
weightedResamplingTargetCellMass,resamplingTargetCellMass,alias accepté,double,>=0; 0 => infère la masse moyenne courante,0.0,Masse cible par cellule pour diagnostics/remap resampling.,Resampling pondéré — cible
