name,entry_type,category,status,expected_type,default,values_constraints,canonical_field_target,aliases,effect_role,remarks,sources,source_inventory
inletProfile,params_key,Entrées/sorties — profil spatial,alias accepté | étendu 0493x8k entrée segmentée locale,enum string,uniform,uniform; poiseuille_y; poiseuille_y_mean; poiseuille_y_max; flat_taper_y; flat_taper_y_mean,inletVelocitySpatialProfile,,Profil spatial de vitesse/flux imposé sur les entrées.,"0493x8k: pour une ouverture segmentée, poiseuille_y_max/poiseuille_y_mean sont évalués dans la coordonnée locale du segment; la vitesse normale est nulle aux extrémités et le même profil alimente injection particulaire et flux Q6-G-F.",simulation_params.h; params_io_base.cpp; src/cuda_classic_src_io_resident_0263.cu; src/cuda_q6_resident_0400.cu; scripts/run_0493x8k_segmented_local_poiseuille.sh,src_mpcd_params_cles_acceptees_0292_cuda.csv | cycle_0493x8k_x8t + 0493x9d_x9r_surface_tension_20260819
inletSpatialProfile,params_key,Entrées/sorties — profil spatial,alias accepté | étendu 0493x8k entrée segmentée locale,enum string,uniform,uniform; poiseuille_y; poiseuille_y_mean; poiseuille_y_max; flat_taper_y; flat_taper_y_mean,inletVelocitySpatialProfile,,Profil spatial de vitesse/flux imposé sur les entrées.,"0493x8k: pour une ouverture segmentée, poiseuille_y_max/poiseuille_y_mean sont évalués dans la coordonnée locale du segment; la vitesse normale est nulle aux extrémités et le même profil alimente injection particulaire et flux Q6-G-F.",simulation_params.h; params_io_base.cpp; src/cuda_classic_src_io_resident_0263.cu; src/cuda_q6_resident_0400.cu; scripts/run_0493x8k_segmented_local_poiseuille.sh,src_mpcd_params_cles_acceptees_0292_cuda.csv | cycle_0493x8k_x8t + 0493x9d_x9r_surface_tension_20260819
inletVelocitySpatialProfile,params_key,Entrées/sorties — profil spatial,canonique | étendu 0493x8k entrée segmentée locale,enum string,uniform,uniform; poiseuille_y; poiseuille_y_mean; poiseuille_y_max; flat_taper_y; flat_taper_y_mean,inletVelocitySpatialProfile,,Profil spatial de vitesse/flux imposé sur les entrées.,"0493x8k: pour une ouverture segmentée, poiseuille_y_max/poiseuille_y_mean sont évalués dans la coordonnée locale du segment; la vitesse normale est nulle aux extrémités et le même profil alimente injection particulaire et flux Q6-G-F.",simulation_params.h; params_io_base.cpp; src/cuda_classic_src_io_resident_0263.cu; src/cuda_q6_resident_0400.cu; scripts/run_0493x8k_segmented_local_poiseuille.sh,src_mpcd_params_cles_acceptees_0292_cuda.csv | cycle_0493x8k_x8t + 0493x9d_x9r_surface_tension_20260819
inletVelocityWallTaperCells,params_key,Entrées/sorties — profil spatial,canonique,double,2.0,>= 0,inletVelocityWallTaperCells,,"Largeur du lissage/taper près des murs, exprimée en cellules.",,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletWallTaperCells,params_key,Entrées/sorties — profil spatial,alias accepté,double,2.0,>= 0,inletVelocityWallTaperCells,,"Largeur du lissage/taper près des murs, exprimée en cellules.",,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
openBoundaryVelocityProfile,params_key,Entrées/sorties — profil spatial,alias accepté | étendu 0493x8k entrée segmentée locale,enum string,uniform,uniform; poiseuille_y; poiseuille_y_mean; poiseuille_y_max; flat_taper_y; flat_taper_y_mean,inletVelocitySpatialProfile,,Profil spatial de vitesse/flux imposé sur les entrées.,"0493x8k: pour une ouverture segmentée, poiseuille_y_max/poiseuille_y_mean sont évalués dans la coordonnée locale du segment; la vitesse normale est nulle aux extrémités et le même profil alimente injection particulaire et flux Q6-G-F.",simulation_params.h; params_io_base.cpp; src/cuda_classic_src_io_resident_0263.cu; src/cuda_q6_resident_0400.cu; scripts/run_0493x8k_segmented_local_poiseuille.sh,src_mpcd_params_cles_acceptees_0292_cuda.csv | cycle_0493x8k_x8t + 0493x9d_x9r_surface_tension_20260819
openBoundaryVelocityWallTaperCells,params_key,Entrées/sorties — profil spatial,alias accepté,double,2.0,>= 0,inletVelocityWallTaperCells,,"Largeur du lissage/taper près des murs, exprimée en cellules.",,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletRampEnable,params_key,Entrées/sorties — rampe,alias accepté,booléen,false,booléen: true/1/yes/on ou false/0/no/off,inletVelocityRampEnable,,Active une rampe temporelle multiplicative sur les vitesses/flux d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletRampEndTime,params_key,Entrées/sorties — rampe,alias accepté,double,0.0,nombre réel fini,inletVelocityRampEndTime,,Temps de fin de la rampe d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletRampFinalFactor,params_key,Entrées/sorties — rampe,alias accepté,double,1.0,nombre réel fini,inletVelocityRampFinalFactor,,Facteur multiplicatif final de vitesse/flux d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletRampInitialFactor,params_key,Entrées/sorties — rampe,alias accepté,double,0.0,nombre réel fini,inletVelocityRampInitialFactor,,Facteur multiplicatif initial de vitesse/flux d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletRampProfile,params_key,Entrées/sorties — rampe,alias accepté,enum string,linear,linear; smoothstep,inletVelocityRampProfile,,Loi d’interpolation temporelle de la rampe.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletRampStartTime,params_key,Entrées/sorties — rampe,alias accepté,double,0.0,nombre réel fini,inletVelocityRampStartTime,,Temps de début de la rampe d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampEnable,params_key,Entrées/sorties — rampe,canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,inletVelocityRampEnable,,Active une rampe temporelle multiplicative sur les vitesses/flux d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampEndTime,params_key,Entrées/sorties — rampe,canonique,double,0.0,nombre réel fini,inletVelocityRampEndTime,,Temps de fin de la rampe d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampFinalFactor,params_key,Entrées/sorties — rampe,canonique,double,1.0,nombre réel fini,inletVelocityRampFinalFactor,,Facteur multiplicatif final de vitesse/flux d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampInitialFactor,params_key,Entrées/sorties — rampe,canonique,double,0.0,nombre réel fini,inletVelocityRampInitialFactor,,Facteur multiplicatif initial de vitesse/flux d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampProfile,params_key,Entrées/sorties — rampe,canonique,enum string,linear,linear; smoothstep,inletVelocityRampProfile,,Loi d’interpolation temporelle de la rampe.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityRampStartTime,params_key,Entrées/sorties — rampe,canonique,double,0.0,nombre réel fini,inletVelocityRampStartTime,,Temps de début de la rampe d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletDensityCells,params_key,Entrées/sorties — réservoir dur,alias accepté,entier,1,> 0 si hard_cell_density,inletReservoirCells,,Épaisseur du réservoir d’entrée en nombre de cellules.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletGamma,params_key,Entrées/sorties — réservoir dur,alias accepté,entier,0,> 0 si hard_cell_density,inletTargetOccupancy,,Nombre cible de particules par cellule de réservoir dur.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletHardCellThermalRescale,params_key,Entrées/sorties — réservoir dur,canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,inletHardCellThermalRescale,,Rescale les fluctuations thermiques de la cellule d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletHardCellVelocityMean,params_key,Entrées/sorties — réservoir dur,canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,inletHardCellVelocityMean,,Recentre les vitesses injectées pour imposer exactement la moyenne de cellule.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletReservoirCells,params_key,Entrées/sorties — réservoir dur,canonique,entier,1,> 0 si hard_cell_density,inletReservoirCells,,Épaisseur du réservoir d’entrée en nombre de cellules.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletReservoirMode,params_key,Entrées/sorties — réservoir dur,canonique,enum string,recycle,recycle; cuda_recycle; thin_slab; hard_cell_density; hard_density; hard; cell_density; default,inletReservoirMode,,Mode de réservoir d’entrée; les alias cuda_recycle/thin_slab sont normalisés vers recycle.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletTargetN,params_key,Entrées/sorties — réservoir dur,alias accepté,entier,0,> 0 si hard_cell_density,inletTargetOccupancy,,Nombre cible de particules par cellule de réservoir dur.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletTargetOccupancy,params_key,Entrées/sorties — réservoir dur,canonique,entier,0,> 0 si hard_cell_density,inletTargetOccupancy,,Nombre cible de particules par cellule de réservoir dur.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
openBoundarySegmentCount,params_key,Entrées/sorties — segments,canonique,entier,0,0 si désactivé; 1..16 si activé,openBoundarySegmentCount,,Nombre de segments ouverts définis.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
openBoundarySegmentK,params_key,Entrées/sorties — segments,groupe dynamique,record,(aucun),"face mode sMin sMax ux uy type mass; face={left,right,bottom,top}; mode=inlet/input/outlet/output/open; 0<=sMin<sMax<=1; mass>0",openBoundarySegmentK,,Déclaration d’un segment relatif sur une face solide/specular/bounceback.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
openBoundarySegmentsEnable,params_key,Entrées/sorties — segments,canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,openBoundarySegmentsEnable,,Active les segments compacts inlet/outlet sur des faces autrement wall-like.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
openBoundaryOutletFeedbackGain,params_key,Entrées/sorties — sortie Q6,canonique,double,0.0,"[0,1]",openBoundaryOutletFeedbackGain,,Gain du feedback global outlet-only sur le déséquilibre de flux.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
openBoundaryOutletHybridBlend,params_key,Entrées/sorties — sortie Q6,canonique,double,0.0,"[0,1]",openBoundaryOutletHybridBlend,,Mélange entre profil local Neumann et profil équilibré.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
openBoundaryOutletMassFeedbackGain,params_key,Entrées/sorties — sortie Q6,alias accepté,double,0.0,"[0,1]",openBoundaryOutletFeedbackGain,,Gain du feedback global outlet-only sur le déséquilibre de flux.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
openOutletFeedbackGain,params_key,Entrées/sorties — sortie Q6,alias accepté,double,0.0,"[0,1]",openBoundaryOutletFeedbackGain,,Gain du feedback global outlet-only sur le déséquilibre de flux.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
openOutletHybridBlend,params_key,Entrées/sorties — sortie Q6,alias accepté,double,0.0,"[0,1]",openBoundaryOutletHybridBlend,,Mélange entre profil local Neumann et profil équilibré.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
outletFeedbackGain,params_key,Entrées/sorties — sortie Q6,alias accepté,double,0.0,"[0,1]",openBoundaryOutletFeedbackGain,,Gain du feedback global outlet-only sur le déséquilibre de flux.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
outletHybridBlend,params_key,Entrées/sorties — sortie Q6,alias accepté,double,0.0,"[0,1]",openBoundaryOutletHybridBlend,,Mélange entre profil local Neumann et profil équilibré.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUx,params_key,Entrées/sorties — vitesse,canonique,double,(non stocké),nombre réel fini,inletUx,,Alias global pour la composante x de vitesse d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUxBottom,params_key,Entrées/sorties — vitesse,canonique,double,0.0,nombre réel fini,inletUxBottom,,Composante x de la vitesse prescrite sur l’entrée bottom.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUxLeft,params_key,Entrées/sorties — vitesse,canonique,double,0.0,nombre réel fini,inletUxLeft,,Composante x de la vitesse prescrite sur l’entrée left.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUxRight,params_key,Entrées/sorties — vitesse,canonique,double,0.0,nombre réel fini,inletUxRight,,Composante x de la vitesse prescrite sur l’entrée right.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUxTop,params_key,Entrées/sorties — vitesse,canonique,double,0.0,nombre réel fini,inletUxTop,,Composante x de la vitesse prescrite sur l’entrée top.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUy,params_key,Entrées/sorties — vitesse,canonique,double,(non stocké),nombre réel fini,inletUy,,Alias global pour la composante y de vitesse d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUyBottom,params_key,Entrées/sorties — vitesse,canonique,double,0.0,nombre réel fini,inletUyBottom,,Composante y de la vitesse prescrite sur l’entrée bottom.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUyLeft,params_key,Entrées/sorties — vitesse,canonique,double,0.0,nombre réel fini,inletUyLeft,,Composante y de la vitesse prescrite sur l’entrée left.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUyRight,params_key,Entrées/sorties — vitesse,canonique,double,0.0,nombre réel fini,inletUyRight,,Composante y de la vitesse prescrite sur l’entrée right.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletUyTop,params_key,Entrées/sorties — vitesse,canonique,double,0.0,nombre réel fini,inletUyTop,,Composante y de la vitesse prescrite sur l’entrée top.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityX,params_key,Entrées/sorties — vitesse,alias accepté,double,(non stocké),nombre réel fini,inletUx,,Alias global pour la composante x de vitesse d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inletVelocityY,params_key,Entrées/sorties — vitesse,alias accepté,double,(non stocké),nombre réel fini,inletUy,,Alias global pour la composante y de vitesse d’entrée.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
taylorGreenForcingAmplitude,params_key,Forçage Taylor–Green,canonique,double,0.0,>= 0,taylorGreenForcingAmplitude,,Amplitude A du forçage Taylor–Green.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
taylorGreenForcingEnable,params_key,Forçage Taylor–Green,canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,taylorGreenForcingEnable,,Active un forçage corporel périodique divergence-free de type Taylor–Green.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
taylorGreenForcingModeX,params_key,Forçage Taylor–Green,canonique,entier,1,> 0,taylorGreenForcingModeX,,Nombre d’onde entier en x du forçage Taylor–Green.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
taylorGreenForcingModeY,params_key,Forçage Taylor–Green,canonique,entier,1,> 0,taylorGreenForcingModeY,,Nombre d’onde entier en y du forçage Taylor–Green.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
tgForceAmplitude,params_key,Forçage Taylor–Green,alias accepté,double,0.0,>= 0,taylorGreenForcingAmplitude,,Amplitude A du forçage Taylor–Green.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
tgForcingAmplitude,params_key,Forçage Taylor–Green,alias accepté,double,0.0,>= 0,taylorGreenForcingAmplitude,,Amplitude A du forçage Taylor–Green.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
tgForcingEnable,params_key,Forçage Taylor–Green,alias accepté,booléen,false,booléen: true/1/yes/on ou false/0/no/off,taylorGreenForcingEnable,,Active un forçage corporel périodique divergence-free de type Taylor–Green.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
tgForcingModeX,params_key,Forçage Taylor–Green,alias accepté,entier,1,> 0,taylorGreenForcingModeX,,Nombre d’onde entier en x du forçage Taylor–Green.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
tgForcingModeY,params_key,Forçage Taylor–Green,alias accepté,entier,1,> 0,taylorGreenForcingModeY,,Nombre d’onde entier en y du forçage Taylor–Green.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
bodyAccelerationX,params_key,Forçage et contrôle d’écoulement,canonique,double,0.0,nombre réel fini,bodyAccelerationX,,Accélération volumique uniforme appliquée en x avant streaming.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
bodyAccelerationY,params_key,Forçage et contrôle d’écoulement,canonique,double,0.0,nombre réel fini,bodyAccelerationY,,Accélération volumique uniforme appliquée en y avant streaming.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
bodyForceX,params_key,Forçage et contrôle d’écoulement,alias accepté,double,0.0,nombre réel fini,bodyAccelerationX,,Accélération volumique uniforme appliquée en x avant streaming.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
bodyForceY,params_key,Forçage et contrôle d’écoulement,alias accepté,double,0.0,nombre réel fini,bodyAccelerationY,,Accélération volumique uniforme appliquée en y avant streaming.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
keepMeanFlow,params_key,Forçage et contrôle d’écoulement,alias accepté,booléen,false,booléen: true/1/yes/on ou false/0/no/off,keepMeanFlowEnable,,Active un correcteur global de vitesse moyenne après SRC/Q6/thermostat.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
keepMeanFlowEnable,params_key,Forçage et contrôle d’écoulement,canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,keepMeanFlowEnable,,Active un correcteur global de vitesse moyenne après SRC/Q6/thermostat.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
meanFlowUx,params_key,Forçage et contrôle d’écoulement,alias accepté,double,0.0,nombre réel fini,targetMeanUx,,Vitesse moyenne cible en x.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
meanFlowUy,params_key,Forçage et contrôle d’écoulement,alias accepté,double,0.0,nombre réel fini,targetMeanUy,,Vitesse moyenne cible en y.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
targetMeanUx,params_key,Forçage et contrôle d’écoulement,canonique,double,0.0,nombre réel fini,targetMeanUx,,Vitesse moyenne cible en x.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
targetMeanUy,params_key,Forçage et contrôle d’écoulement,canonique,double,0.0,nombre réel fini,targetMeanUy,,Vitesse moyenne cible en y.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
U0,params_key,Forçage et contrôle d’écoulement,alias accepté,double,0.0,nombre réel fini,targetMeanUx,,Vitesse moyenne cible en x.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
dumpStateEvery,params_key,I/O et exécution,canonique,entier,0,entier >= 0; 0 désactive les dumps périodiques,dumpStateEvery,,Cadence d’écriture des états .smpcd pour post-traitement.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
inputState,params_key,I/O et exécution,canonique,chemin,(obligatoire),chaîne non vide,inputState,,Fichier d’état initial .smpcd lu par l’exécutable.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
numThreads,params_key,I/O et exécution,canonique,entier,0,entier >= 0; 0 laisse OpenMP décider,numThreads,,Force omp_set_num_threads(numThreads).,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
outputDir,params_key,I/O et exécution,canonique,chemin,run_base,chaîne non vide,outputDir,,"Répertoire de sortie du run: summaries, dumps et fichiers associés.",,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
summaryEvery,params_key,I/O et exécution,canonique,entier,10,entier > 0,summaryEvery,,Cadence d’écriture de summary_runtime.csv et d’affichage de progression.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallAccommodation,params_key,Parois,canonique,double,1.0,"[0,1]",wallAccommodation,,"Coefficient d’accommodation de paroi: 0 glissant/specular-like, 1 couplage thermique complet.",,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallKBT,params_key,Parois,canonique,double,-1.0,négatif => hérite de kBT; sinon >0 si couplage actif,wallKBT,,Température cinétique de paroi.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallThermalNoise,params_key,Parois,canonique,double,1.0,>= 0,wallThermalNoise,,Amplitude du bruit thermique de paroi; 0 donne un couplage déterministe.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpEnable,params_key,Parois,canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,wallVpEnable,,Active explicitement le couplage virtual-particle de paroi legacy.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpGamma,params_key,Parois,canonique,double,0.0,>= 0; 0 infère l’occupation moyenne réelle,wallVpGamma,,Population virtuelle de paroi dans une cellule de collision entièrement solide.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpKBT,params_key,Parois,canonique,double,-1.0,alias legacy thermique; négatif => hérite de kBT; 0 invalide si actif,wallVpKBT,,Ancien paramètre de température de paroi VP.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpMass,params_key,Parois,canonique,double,1.0,> 0,wallVpMass,,Masse des particules virtuelles/agrégat de paroi.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpMode,params_key,Parois,canonique,enum string,thermal,thermal; deterministic_thermal; stochastic_fraction,wallVpMode,,Mode de couplage thermique de paroi; stochastic_fraction est accepté comme alias legacy.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallUxBottom,params_key,Parois — vitesses,alias accepté,double,0.0,nombre réel fini,wallVpUxBottom,,Composante x de la vitesse de paroi sur la face bottom.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallUxLeft,params_key,Parois — vitesses,alias accepté,double,0.0,nombre réel fini,wallVpUxLeft,,Composante x de la vitesse de paroi sur la face left.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallUxRight,params_key,Parois — vitesses,alias accepté,double,0.0,nombre réel fini,wallVpUxRight,,Composante x de la vitesse de paroi sur la face right.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallUxTop,params_key,Parois — vitesses,alias accepté,double,0.0,nombre réel fini,wallVpUxTop,,Composante x de la vitesse de paroi sur la face top.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallUyBottom,params_key,Parois — vitesses,alias accepté,double,0.0,nombre réel fini,wallVpUyBottom,,Composante y de la vitesse de paroi sur la face bottom.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallUyLeft,params_key,Parois — vitesses,alias accepté,double,0.0,nombre réel fini,wallVpUyLeft,,Composante y de la vitesse de paroi sur la face left.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallUyRight,params_key,Parois — vitesses,alias accepté,double,0.0,nombre réel fini,wallVpUyRight,,Composante y de la vitesse de paroi sur la face right.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallUyTop,params_key,Parois — vitesses,alias accepté,double,0.0,nombre réel fini,wallVpUyTop,,Composante y de la vitesse de paroi sur la face top.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpUxBottom,params_key,Parois — vitesses,canonique,double,0.0,nombre réel fini,wallVpUxBottom,,Composante x de la vitesse de paroi sur la face bottom.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpUxLeft,params_key,Parois — vitesses,canonique,double,0.0,nombre réel fini,wallVpUxLeft,,Composante x de la vitesse de paroi sur la face left.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpUxRight,params_key,Parois — vitesses,canonique,double,0.0,nombre réel fini,wallVpUxRight,,Composante x de la vitesse de paroi sur la face right.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpUxTop,params_key,Parois — vitesses,canonique,double,0.0,nombre réel fini,wallVpUxTop,,Composante x de la vitesse de paroi sur la face top.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpUyBottom,params_key,Parois — vitesses,canonique,double,0.0,nombre réel fini,wallVpUyBottom,,Composante y de la vitesse de paroi sur la face bottom.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpUyLeft,params_key,Parois — vitesses,canonique,double,0.0,nombre réel fini,wallVpUyLeft,,Composante y de la vitesse de paroi sur la face left.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpUyRight,params_key,Parois — vitesses,canonique,double,0.0,nombre réel fini,wallVpUyRight,,Composante y de la vitesse de paroi sur la face right.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
wallVpUyTop,params_key,Parois — vitesses,canonique,double,0.0,nombre réel fini,wallVpUyTop,,Composante y de la vitesse de paroi sur la face top.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
projectionEnable,params_key,Projection Q6 / elliptique,canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,projectionEnable,,Active la projection incompressible Q6.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_cles_acceptees_0292_cuda.csv
